Price,Address,Bed,Bath,Living Area
"$880,000 ","19514 Windrose Dr Rowland Heights, CA",4,3,"2,453 sqft"
"$600,000 ","1511 Cronin Dr Rowland Heights, CA",4,2,"1,661 sqft"
"$680,000 ","18140 Gallineta St Rowland Heights, CA",4,2,"2,180 sqft"
"$823,000 ","17965 Calle Barcelona Rowland Heights, CA",4,3,"2,619 sqft"
"$651,000 ","1447 Greenport Ave Rowland Heights, CA",4,3,"1,598 sqft"
"$720,000 ","18720 Alderbury Dr Rowland Heights, CA",3,2,"1,629 sqft"
"$530,000 ","18070 Amargoso St Rowland Heights, CA",5,3,"2,578 sqft"
"$465,000 ","18644 Mescal St Rowland Heights, CA",3,2,"1,150 sqft"
"$650,000 ","2733 Recinto Ave Rowland Heights, CA",4,2,"1,400 sqft"
"$710,000 ","19452 Raskin Dr Rowland Heights, CA",4,3,"2,069 sqft"
"$540,000 ","1453 Valenza Ave Rowland Heights, CA",4,3,"1,494 sqft"
"$200,000 ","2188 Valencia St Rowland Heights, CA",3,2,"1,565 sqft"
"$567,000 ","18650 Marimba St Rowland Heights, CA",3,2,"1,150 sqft"
"$600,000 ","19385 Springport Dr Rowland Heights, CA",4,3,"1,507 sqft"
"$1,050,000 ","18606 Vantage Pointe Dr Rowland Heights, CA",6,5,"3,302 sqft"
"$637,000 ","19397 Baelen St Rowland Heights, CA",3,2,"1,220 sqft"
"$283,000 ","18120 Via Amorosa #4 Rowland Heights, CA",2,1,771 sqft
"$635,000 ","18226 Mescalero St Rowland Heights, CA",3,2,"1,754 sqft"
"$480,000 ","18715 Honore St Rowland Heights, CA",4,2,"1,189 sqft"
"$1,130,000 ","18153 Canterbury Ct Rowland Heights, CA",4,4,"3,442 sqft"
"$596,000 ","2918 Blandford Dr Rowland Heights, CA",3,2,"1,240 sqft"
"$750,000 ","1509 Cronin Dr Rowland Heights, CA",4,3,"2,469 sqft"
"$970,000 ","17611 Calle Barcelona Rowland Heights, CA",4,3,"3,818 sqft"
"$178,000 ","18516 Marimba St Rowland Heights, CA",4,2,"1,423 sqft"
"$599,000 ","2221 Alexdale Ln Rowland Heights, CA",3,2,"1,256 sqft"
"$865,000 ","18590 Waldorf Pl Rowland Heights, CA",4,3,"2,665 sqft"
"$625,000 ","18660 Alderbury Dr Rowland Heights, CA",3,2,"1,202 sqft"
"$875,000 ","17947 Calle Barcelona Rowland Heights, CA",4,3,"3,126 sqft"
"$930,000 ","2077 Cartago Ct Rowland Heights, CA",4,3,"3,385 sqft"
"$875,000 ","2700 Native Ave Rowland Heights, CA",3,2,"1,859 sqft"
"$940,000 ","1338 Golden Coast Ln Rowland Heights, CA",5,5,"3,793 sqft"
"$615,000 ","2141 Paso Real Ave Rowland Heights, CA",4,2,"1,842 sqft"
"$759,000 ","2670 Pocatello Ave Rowland Heights, CA",4,2,"2,173 sqft"
"$595,000 ","1909 Valencia St Rowland Heights, CA",3,2,"1,257 sqft"
"$312,000 ","18242 Camino Bello #2 Rowland Heights, CA",2,1,836 sqft
"$880,000 ","1953 Samara Dr Rowland Heights, CA",4,3,"2,650 sqft"
"$550,000 ","2423 Paso Real Ave Rowland Heights, CA",3,2,"1,205 sqft"
"$855,000 ","17909 Sunrise Dr Rowland Heights, CA",4,3,"2,552 sqft"
"$570,000 ","2464 Tortosa Ave Rowland Heights, CA",4,2,"1,320 sqft"
"$575,000 ","2015 Lerona Ave Rowland Heights, CA",3,2,"1,349 sqft"
"$929,000 ","17925 Calle Los Arboles Rowland Heights, CA",4,3,"3,385 sqft"
"$308,000 ","18142 Via Amorosa #3 Rowland Heights, CA",2,1,836 sqft
"$1,088,000 ","2512 Carlton Pl Rowland Heights, CA",5,5,"3,352 sqft"
"$781,000 ","18035 Gooseberry Dr Rowland Heights, CA",3,3,"2,183 sqft"
"$580,000 ","1741 Paso Real Ave Rowland Heights, CA",3,2,"1,210 sqft"
"$1,025,000 ","17579 Marengo Dr Rowland Heights, CA",4,3,"3,786 sqft"
"$680,000 ","17808 Contador Dr Rowland Heights, CA",3,2,"1,798 sqft"
"$710,000 ","19627 Galeview Dr Rowland Heights, CA",4,3,"1,968 sqft"
"$950,000 ","2121 Saleroso Dr Rowland Heights, CA",4,3,"3,517 sqft"
"$748,000 ","18101 Via Calma Rowland Heights, CA",4,3,"2,131 sqft"
"$652,500 ","1871 Blue Haven Dr Rowland Heights, CA",4,3,"1,606 sqft"
"$840,000 ","3509 Portsmouth Way Rowland Heights, CA",4,3,"2,665 sqft"
"$685,000 ","2229 Fallen Dr Rowland Heights, CA",4,2,"2,016 sqft"
"$1,100,000 ","19650 Galeview Dr Rowland Heights, CA",4,5,"3,169 sqft"
"$365,000 ","18157 Via Calma Rowland Heights, CA",4,3,"2,131 sqft"
"$465,000 ","18127 Atina St Rowland Heights, CA",3,1,"1,014 sqft"
"$731,000 ","2417 Desire Ave Rowland Heights, CA",4,2,"1,363 sqft"
"$692,395 ","19420 Greyhall St Rowland Heights, CA",4,3,"1,902 sqft"
"$818,000 ","3606 S Dover Ct Rowland Heights, CA",4,4,"2,755 sqft"
"$705,000 ","17553 Candela Dr Rowland Heights, CA",3,2,"1,851 sqft"
"$645,000 ","17716 Kingsrun Pl Rowland Heights, CA",4,2,"1,962 sqft"
"$65,000 ","1335 Edmore Ave Rowland Heights, CA",3,2,"1,670 sqft"
"$1,009,000 ","1901 Tambor Ct Rowland Heights, CA",7,7,"5,652 sqft"
"$678,000 ","2423 Hillman Ln Rowland Heights, CA",3,2,"1,478 sqft"
"$1,090,000 ","18567 Stonegate Ln Rowland Heights, CA",6,5,"3,551 sqft"
"$550,000 ","18738 Barroso St Rowland Heights, CA",3,2,"1,150 sqft"
"$580,000 ","18255 Gallineta St Rowland Heights, CA",3,2,"1,400 sqft"
"$610,000 ","18590 Fieldbrook St Rowland Heights, CA",4,2,"1,644 sqft"
"$425,000 ","2534 Batson Ave Rowland Heights, CA",3,2,"1,400 sqft"
"$688,000 ","2263 Joel Dr Rowland Heights, CA",3,3,"2,142 sqft"
"$579,000 ","2702 Abeto Ave Rowland Heights, CA",4,2,"1,368 sqft"
"$770,000 ","2318 Remora Dr Rowland Heights, CA",4,2,"2,016 sqft"
"$870,000 ","2331 Ridgeview Ave Rowland Heights, CA",4,3,"2,891 sqft"
"$568,000 ","18463 Barroso St Rowland Heights, CA",3,2,"1,080 sqft"
"$614,000 ","1351 Custoza Ave Rowland Heights, CA",4,2,"1,609 sqft"
"$730,000 ","19721 Castlebar Dr Rowland Heights, CA",3,3,"2,142 sqft"
"$938,000 ","2503 Saleroso Dr Rowland Heights, CA",4,3,"3,360 sqft"
"$652,500 ","2411 Songbird Ln Rowland Heights, CA",3,3,"1,506 sqft"
"$568,000 ","2111 Paso Real Ave Rowland Heights, CA",3,2,"1,205 sqft"
"$600,000 ","2435 Cuatro Dr Rowland Heights, CA",3,2,"1,324 sqft"
"$708,000 ","2712 Recinto Ave Rowland Heights, CA",5,3,"2,507 sqft"
"$656,000 ","2350 Songbird Ln Rowland Heights, CA",3,3,"1,523 sqft"
"$499,000 ","18241 Companario Dr Rowland Heights, CA",3,1,"1,000 sqft"
"$520,000 ","18227 La Cortita St Rowland Heights, CA",3,2,"1,088 sqft"
"$982,000 ","18080 Via Amorosa Rowland Heights, CA",4,3,"3,273 sqft"
"$630,000 ","1603 Hollandale Ave Rowland Heights, CA",4,2,"1,284 sqft"
"$302,000 ","18142 Colima Rd #4 Rowland Heights, CA",2,1,771 sqft
"$573,000 ","1324 Edmore Ave Rowland Heights, CA",3,2,"1,170 sqft"
"$548,000 ","2658 Cedric Pl Rowland Heights, CA",3,2,"1,216 sqft"
"$699,000 ","1511 Ellesford Ave Rowland Heights, CA",4,3,"1,596 sqft"
"$515,000 ","2527 Los Padres Dr Rowland Heights, CA",3,2,"1,040 sqft"
"$205,000 ","17729 Contra Costa Dr Rowland Heights, CA",5,2,"2,112 sqft"
"$950,000 ","18518 Klum Pl Rowland Heights, CA",4,3,"2,692 sqft"
"$650,000 ","19130 Springport Dr Rowland Heights, CA",3,2,"1,989 sqft"
"$612,000 ","2425 Songbird Ln Rowland Heights, CA",3,3,"1,523 sqft"
"$650,000 ","2634 Blandford Dr Rowland Heights, CA",4,2,"1,316 sqft"
"$870,000 ","2256 Batson Ave Rowland Heights, CA",5,5,"2,891 sqft"
