Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
Bahawalpur,,No,53,0,610,0,0,"Not Offered"
Bahawalpur,,No,60,0,649,0,0,"Not Offered"
Bahawalpur,,No,61,0,578,0,0,"Not Offered"
OPEN,,No,50,0,774,0,0,"Not Offered"
Bahawalpur,,No,57,0,726,0,0,"Not Offered"
Bahawalpur,,No,62,0,725,0,0,"Not Offered"
Bahawalpur,,No,55,0,621,0,0,"Not Offered"
Bahawalpur,,Yes,47,0,571,0,0,"Not Offered"
Bahawalpur,,No,0,0,665,0,0,"Not Offered"
Bahawalpur,,No,46,0,513,0,0,"Not Offered"
Bahawalpur,,No,57,0,658,0,0,"Not Offered"
Bahawalpur,,No,25,25,878,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,51,0,521,0,0,"Not Offered"
Bahawalpur,,No,0,0,699,0,0,"Not Offered"
Bahawalpur,,No,50,0,678,0,0,"Not Offered"
Bahawalpur,,No,54,0,677,0,0,"Not Offered"
Bahawalpur,,No,60,0,794,0,0,"Not Offered"
OPEN,,No,50,0,799,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,44,0,764,0,0,"Not Offered"
OPEN,,No,52,0,739,0,0,"Not Offered"
OPEN,,No,0,0,757,0,0,"Not Offered"
Bahawalpur,,No,54,0,720,0,0,"Not Offered"
OPEN,,No,48,0,780,0,0,"Not Offered"
Bahawalpur,,Yes,45,0,560,0,0,"Not Offered"
OPEN,,No,21,0,726,0,0,"Not Offered"
Bahawalpur,,No,21,21,754,0,0,"Not Offered"
OPEN,,No,47,0,742,0,0,"Not Offered"
Bahawalpur,,No,58,0,605,0,0,"Not Offered"
Bahawalpur,,No,52,0,700,0,0,"Not Offered"
Bahawalpur,,No,58,0,698,0,0,"Not Offered"
Bahawalpur,,No,50,0,554,0,0,"Not Offered"
OPEN,,No,50,0,516,0,0,"Not Offered"
Bahawalpur,,No,50,0,554,0,0,"Not Offered"
OPEN,,No,0,0,871,0,0,"Not Offered"
OPEN,,No,48,0,645,0,0,"Not Offered"
Bahawalpur,,No,40,0,299,0,0,"Not Offered"
Bahawalpur,,No,50,0,622,0,0,"Not Offered"
Bahawalpur,,No,42,0,511,0,0,"Not Offered"
Bahawalpur,,No,53,0,724,0,0,"Not Offered"
Bahawalpur,,No,45,0,619,0,0,"Not Offered"
OPEN,,No,66,0,768,0,0,Offered_IN_OPEN_QUOTA
