Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
Bahawalpur,,No,54,0,538,0,57,"Not Offered"
Bahawalpur,,No,0,0,685,0,114,"Not Offered"
OPEN,,No,0,0,789,0,145,"Not Offered"
Bahawalpur,,No,53,0,773,0,133,"Not Offered"
OPEN,,No,51,0,856,0,133,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,49,0,913,0,148,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,958,0,163,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,979,0,167,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,773,0,161,"Not Offered"
OPEN,,No,51,0,856,0,161,Offered_IN_OPEN_QUOTA
OPEN,,No,0,0,740,0,86,"Not Offered"
Bahawalpur,,No,60,0,649,0,134,"Not Offered"
Bahawalpur,,No,61,0,578,0,113,"Not Offered"
OPEN,,No,65,0,836,0,149,"Not Offered"
Bahawalpur,,No,44,0,584,0,121,"Not Offered"
Bahawalpur,,No,52,0,681,0,142,"Not Offered"
Bahawalpur,,No,50,0,740,0,121,"Not Offered"
Bahawalpur,,No,0,0,575,0,133,"Not Offered"
Bahawalpur,,No,57,0,726,0,135,Offered_IN_OPEN_QUOTA
OPEN,,No,0,0,970,0,174,Offered_IN_OPEN_QUOTA
OPEN,,No,0,0,812,0,111,"Not Offered"
Bahawalpur,,No,39,0,542,0,117,"Not Offered"
Bahawalpur,,No,0,0,612,0,105,"Not Offered"
OPEN,,Yes,47,0,591,0,147,"Not Offered"
Bahawalpur,,No,54,0,868,0,164,Offered_IN_BWP_QUOTA
OPEN,,No,0,0,550,0,84,"Not Offered"
Bahawalpur,,No,54,0,729,0,134,"Not Offered"
Bahawalpur,,No,0,0,599,0,105,"Not Offered"
OPEN,,No,0,0,783,0,112,"Not Offered"
Bahawalpur,,No,45,0,711,0,163,"Not Offered"
OPEN,,No,45,0,524,0,70,"Not Offered"
Bahawalpur,,No,0,0,653,0,0,"Not Offered"
Bahawalpur,,No,52,52,813,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,24,0,547,0,0,"Not Offered"
Bahawalpur,,No,50,0,614,0,123,"Not Offered"
Bahawalpur,,No,41,0,608,0,87,"Not Offered"
OPEN,,No,45,0,589,0,108,"Not Offered"
OPEN,,No,60,60,849,0,145,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,0,0,506,0,101,"Not Offered"
OPEN,,No,49,0,754,0,132,"Not Offered"
OPEN,,Yes,0,0,595,0,136,"Not Offered"
Bahawalpur,,No,1,0,723,0,162,"Not Offered"
Bahawalpur,,Yes,0,0,570,0,0,"Not Offered"
Bahawalpur,,No,56,0,682,0,118,"Not Offered"
Bahawalpur,,No,0,0,619,0,140,"Not Offered"
Bahawalpur,,No,56,0,807,0,0,"Not Offered"
OPEN,,No,0,0,674,0,107,"Not Offered"
OPEN,,No,0,0,611,0,140,"Not Offered"
Bahawalpur,,No,48,0,748,0,118,"Not Offered"
OPEN,,No,57,0,766,0,0,"Not Offered"
Bahawalpur,,No,46,0,557,0,0,"Not Offered"
OPEN,,No,46,0,848,0,152,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,2,0,780,0,160,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,648,0,129,"Not Offered"
Bahawalpur,,No,61,0,666,0,150,"Not Offered"
Bahawalpur,,No,44,0,555,0,129,"Not Offered"
Bahawalpur,,No,53,0,802,0,156,Offered_IN_BWP_QUOTA
Bahawalpur,,No,32,0,529,0,102,"Not Offered"
Bahawalpur,,No,0,0,583,0,124,"Not Offered"
Bahawalpur,,No,51,0,809,0,113,"Not Offered"
OPEN,,No,0,0,803,0,127,"Not Offered"
OPEN,,No,70,0,892,0,0,"Not Offered"
Bahawalpur,,No,47,0,577,0,128,"Not Offered"
OPEN,,No,34,0,661,0,129,"Not Offered"
Bahawalpur,,No,43,0,569,0,110,"Not Offered"
Bahawalpur,,No,48,0,531,0,125,"Not Offered"
Bahawalpur,,Yes,55,0,790,0,133,Offered_IN_BWP_QUOTA
OPEN,,No,0,0,728,0,132,"Not Offered"
Bahawalpur,,No,0,0,699,0,113,"Not Offered"
Bahawalpur,,No,0,0,590,0,127,"Not Offered"
Bahawalpur,,No,65,0,563,0,110,"Not Offered"
Bahawalpur,,No,34,0,689,0,124,"Not Offered"
OPEN,,No,50,0,760,0,145,"Not Offered"
Bahawalpur,,No,31,0,733,0,117,"Not Offered"
Bahawalpur,,No,0,0,677,0,94,"Not Offered"
Bahawalpur,,No,45,0,539,0,73,"Not Offered"
Bahawalpur,,No,50,0,800,0,123,"Not Offered"
Bahawalpur,,No,0,0,641,0,0,"Not Offered"
OPEN,,No,43,0,795,0,155,"Not Offered"
Bahawalpur,,No,0,0,738,0,153,"Not Offered"
Bahawalpur,,No,69,69,907,0,157,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,691,0,0,"Not Offered"
Bahawalpur,,No,0,0,841,0,109,Offered_IN_BWP_QUOTA
OPEN,,No,0,0,658,0,119,"Not Offered"
OPEN,,No,0,0,756,0,0,"Not Offered"
Bahawalpur,,No,50,0,646,0,102,"Not Offered"
Bahawalpur,,No,0,0,531,0,130,"Not Offered"
OPEN,,No,0,0,780,0,158,"Not Offered"
Bahawalpur,,No,52,0,639,0,122,"Not Offered"
OPEN,,No,46,0,687,0,140,"Not Offered"
