Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
Bahawalpur,,No,57,0,712,0,0,Not Offered
Bahawalpur,,No,50,0,690,0,0,Not Offered
Bahawalpur,,No,58,0,729,0,0,Not Offered
Bahawalpur,,No,52,0,812,0,0,Not Offered
Bahawalpur,,No,55,0,785,0,0,Not Offered
OPEN,,Yes,54,27,701,0,0,Not Offered
Bahawalpur,,No,61,0,578,0,0,Not Offered
Bahawalpur,,No,50,0,642,0,0,Not Offered
Bahawalpur,,No,54,0,620,0,0,Not Offered
OPEN,,No,50,0,799,0,0,Not Offered
OPEN,,No,46,0,811,0,0,Not Offered
OPEN,,No,54,0,811,0,0,Not Offered
Bahawalpur,,No,63,0,921,0,0,Offered_IN_BWP_QUOTA
OPEN,,No,42,0,593,0,0,Not Offered
Bahawalpur,,No,57,0,726,0,0,Not Offered
Bahawalpur,,No,71,0,793,0,0,Not Offered
Bahawalpur,,No,42,0,560,0,0,Not Offered
Bahawalpur,,No,56,0,942,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,65,0,812,0,0,Not Offered
Bahawalpur,,No,62,0,725,0,0,Not Offered
Bahawalpur,,No,40,0,565,0,0,Not Offered
Bahawalpur,,No,39,0,542,0,0,Not Offered
Bahawalpur,,No,52,0,826,0,0,Not Offered
Bahawalpur,,No,52,0,631,0,0,Not Offered
Bahawalpur,,No,57,0,658,0,0,Not Offered
Bahawalpur,,No,50,0,899,0,0,Offered_IN_OPEN_QUOTA
OPEN,,No,58,0,634,0,0,Not Offered
Bahawalpur,,No,59,0,782,0,0,Not Offered
OPEN,,No,52,0,703,0,0,Not Offered
Bahawalpur,,No,51,0,521,0,0,Not Offered
Bahawalpur,,Yes,65,0,739,0,0,Not Offered
Bahawalpur,,No,52,0,555,0,0,Not Offered
OPEN,,No,53,0,805,0,0,Not Offered
Bahawalpur,,No,46,0,532,0,0,Not Offered
Bahawalpur,,No,54,0,868,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,729,0,0,Not Offered
Bahawalpur,,No,54,0,677,0,0,Not Offered
OPEN,,No,0,0,793,0,0,Not Offered
Bahawalpur,,No,60,0,794,0,0,Not Offered
Bahawalpur,,No,50,0,644,0,0,Not Offered
OPEN,,No,49,0,800,0,0,Not Offered
Bahawalpur,,No,52,0,883,0,0,Offered_IN_OPEN_QUOTA
OPEN,,No,53,0,804,0,0,Not Offered
OPEN,,No,75,0,896,0,0,Offered_IN_OPEN_QUOTA
OPEN,,No,49,0,683,0,0,Not Offered
Bahawalpur,,No,57,0,774,0,0,Not Offered
Bahawalpur,,No,50,0,626,0,0,Not Offered
Bahawalpur,,No,57,0,716,0,0,Not Offered
Bahawalpur,,Yes,67,0,907,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,41,0,608,0,0,Not Offered
Bahawalpur,,No,0,0,893,0,0,Not Offered
Bahawalpur,,No,47,0,779,0,0,Not Offered
OPEN,,No,0,0,757,0,0,Not Offered
Bahawalpur,,No,70,0,921,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,56,0,795,0,0,Not Offered
OPEN,,No,48,0,780,0,0,Not Offered
Bahawalpur,,Yes,45,0,560,0,0,Not Offered
OPEN,,No,50,0,763,0,0,Not Offered
OPEN,,No,54,0,649,0,0,Not Offered
Bahawalpur,,No,40,0,604,0,0,Not Offered
Bahawalpur,,No,58,0,672,0,0,Not Offered
Bahawalpur,,No,53,0,607,0,0,Not Offered
Bahawalpur,,No,58,0,698,0,0,Not Offered
OPEN,,No,40,0,619,0,0,Not Offered
OPEN,,No,50,0,516,0,0,Not Offered
Bahawalpur,,No,42,0,751,0,0,Not Offered
Bahawalpur,,No,39,0,585,0,0,Not Offered
Bahawalpur,,No,52,0,835,0,0,Not Offered
OPEN,,No,52,0,658,0,0,Not Offered
