Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
Bahawalpur,,No,50,0,603,0,0,Not Offered
Bahawalpur,,No,50,0,596,0,0,Not Offered
Bahawalpur,,No,61,0,776,0,0,Not Offered
Bahawalpur,,No,52,0,586,0,0,Not Offered
Bahawalpur,,Yes,63,0,789,0,0,Not Offered
Bahawalpur,,No,38,0,469,0,0,Not Offered
Bahawalpur,,No,50,0,778,0,0,Not Offered
Bahawalpur,,No,64,0,802,0,0,Not Offered
Bahawalpur,,No,47,0,868,0,0,Not Offered
OPEN,,No,53,0,888,0,0,Not Offered
OPEN,,No,43,0,644,0,0,Not Offered
OPEN,,No,29,0,805,0,0,Not Offered
Bahawalpur,,No,43,0,694,0,0,Not Offered
Bahawalpur,,No,44,0,614,0,0,Not Offered
Bahawalpur,,No,56,36,704,0,0,Not Offered
OPEN,,No,53,0,826,0,0,Not Offered
Bahawalpur,,No,47,0,553,0,0,Not Offered
Bahawalpur,,No,50,0,584,0,0,Not Offered
Bahawalpur,,No,61,0,730,0,0,Not Offered
OPEN,,No,48,0,761,0,0,Not Offered
Bahawalpur,,No,49,0,779,0,0,Not Offered
Bahawalpur,,No,36,0,607,0,0,Not Offered
Bahawalpur,,Yes,61,0,853,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,59,0,749,0,0,Not Offered
Bahawalpur,,Yes,47,0,619,0,0,Not Offered
OPEN,,No,37,0,801,0,0,Not Offered
OPEN,,No,50,0,679,0,0,Not Offered
Bahawalpur,,No,1,0,752,0,0,Not Offered
Bahawalpur,,No,61,0,814,0,0,Not Offered
Bahawalpur,,No,60,22,911,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,764,0,0,Not Offered
Bahawalpur,,No,58,0,741,0,0,Not Offered
OPEN,,No,49,0,743,0,0,Not Offered
OPEN,,No,32,0,718,0,0,Not Offered
Bahawalpur,,No,64,0,796,0,0,Not Offered
OPEN,,No,52,0,778,0,0,Not Offered
OPEN,,No,52,0,742,0,0,Not Offered
Bahawalpur,,No,51,0,762,0,0,Not Offered
Bahawalpur,,No,43,0,708,0,0,Not Offered
OPEN,,No,56,0,685,0,0,Not Offered
Bahawalpur,,No,50,0,620,0,0,Not Offered
Bahawalpur,,No,72,18,786,0,0,Not Offered
Bahawalpur,,No,50,0,825,0,0,Not Offered
Bahawalpur,,No,48,0,675,0,0,Not Offered
OPEN,,No,55,0,917,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,45,0,819,0,0,Not Offered
Bahawalpur,,No,54,0,737,0,0,Not Offered
Bahawalpur,,No,52,0,663,0,0,Not Offered
Bahawalpur,,No,40,0,504,0,0,Not Offered
OPEN,,No,50,0,631,0,0,Not Offered
Bahawalpur,,No,55,0,629,0,0,Not Offered
Bahawalpur,,No,55,0,675,0,0,Not Offered
Bahawalpur,,No,38,0,692,0,0,Not Offered
Bahawalpur,,No,61,0,860,0,0,Offered_IN_BWP_QUOTA
OPEN,,No,70,0,950,0,0,Offered_IN_OPEN_QUOTA
OPEN,,Yes,44,0,776,0,0,Not Offered
OPEN,,No,35,0,624,0,0,Not Offered
Bahawalpur,,No,58,0,776,0,0,Not Offered
Bahawalpur,,No,53,0,637,0,0,Not Offered
OPEN,,No,48,0,737,0,0,Not Offered
Bahawalpur,,No,48,0,551,0,0,Not Offered
Bahawalpur,,No,10,10,612,0,0,Not Offered
Bahawalpur,,Yes,45,0,777,0,0,Not Offered
OPEN,,No,18,18,713,0,0,Not Offered
Bahawalpur,,No,59,0,565,0,0,Not Offered
Bahawalpur,,No,47,0,792,0,0,Not Offered
OPEN,,No,51,0,787,0,0,Not Offered
OPEN,,No,51,0,746,0,0,Not Offered
Bahawalpur,,No,56,0,754,0,0,Not Offered
Bahawalpur,,No,55,0,869,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,46,0,574,0,0,Not Offered
OPEN,,No,76,0,804,0,0,Not Offered
Bahawalpur,,No,58,0,727,0,0,Not Offered
Bahawalpur,,No,50,0,722,0,0,Not Offered
Bahawalpur,,No,49,0,696,0,0,Not Offered
Bahawalpur,,No,45,0,589,0,0,Not Offered
Bahawalpur,,No,54,0,622,0,0,Not Offered
Bahawalpur,,No,56,0,815,0,0,Not Offered
OPEN,,No,43,0,545,0,0,Not Offered
Bahawalpur,,No,48,0,807,0,0,Not Offered
Bahawalpur,,No,51,0,863,0,0,Not Offered
Bahawalpur,,No,52,0,747,0,0,Not Offered
Bahawalpur,,No,13,13,744,0,0,Not Offered
Bahawalpur,,No,54,0,722,0,0,Not Offered
OPEN,,No,53,0,812,0,0,Not Offered
OPEN,,No,44,0,894,0,0,Not Offered
Bahawalpur,,Yes,41,17,773,0,0,Not Offered
Bahawalpur,,No,54,0,776,0,0,Not Offered
Bahawalpur,,No,60,31,916,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,600,0,0,Not Offered
OPEN,,No,47,47,854,0,0,Not Offered
Bahawalpur,,No,55,0,622,0,0,Not Offered
Bahawalpur,,No,49,0,608,0,0,Not Offered
Bahawalpur,,No,55,0,627,0,0,Not Offered
Bahawalpur,,No,50,0,788,0,0,Not Offered
OPEN,,No,61,0,584,0,0,Not Offered
OPEN,,No,62,0,841,0,0,Not Offered
Bahawalpur,,Yes,51,0,700,0,0,Not Offered
Bahawalpur,,No,55,0,620,0,0,Not Offered
Bahawalpur,,No,51,0,817,0,0,Not Offered
Bahawalpur,,No,65,0,692,0,0,Not Offered
Bahawalpur,,Yes,65,0,657,0,0,Not Offered
Bahawalpur,,Yes,62,0,744,0,0,Not Offered
Bahawalpur,,No,38,0,540,0,0,Not Offered
Bahawalpur,,No,55,0,601,0,0,Not Offered
Bahawalpur,,No,54,16,784,480,0,Not Offered
OPEN,,No,50,0,695,0,0,Not Offered
Bahawalpur,,No,61,0,926,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,775,0,0,Not Offered
OPEN,,No,44,0,574,0,0,Not Offered
Bahawalpur,,No,58,0,695,0,0,Not Offered
OPEN,,No,53,0,649,0,0,Not Offered
Bahawalpur,,No,62,0,738,0,0,Not Offered
OPEN,,No,49,0,812,0,0,Not Offered
Bahawalpur,,Yes,52,0,752,0,0,Not Offered
Bahawalpur,,No,48,0,879,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,61,0,726,0,0,Not Offered
Bahawalpur,,No,47,0,615,0,0,Not Offered
OPEN,,No,51,16,828,0,0,Not Offered
Bahawalpur,,No,46,0,529,0,0,Not Offered
Bahawalpur,,No,57,0,711,0,0,Not Offered
OPEN,,No,40,0,758,0,0,Not Offered
Bahawalpur,,No,71,0,798,0,0,Not Offered
Bahawalpur,,No,45,0,543,0,0,Not Offered
Bahawalpur,,No,50,0,764,0,0,Not Offered
Bahawalpur,,No,51,0,733,0,0,Not Offered
Bahawalpur,,No,52,0,600,0,0,Not Offered
Bahawalpur,,No,67,19,825,0,0,Not Offered
OPEN,,No,46,0,618,0,0,Not Offered
Bahawalpur,,Yes,45,0,777,0,0,Not Offered
OPEN,,No,18,18,713,0,0,Not Offered
Bahawalpur,,No,59,0,867,0,0,Offered_IN_BWP_QUOTA
OPEN,,No,57,23,831,0,0,Not Offered
Bahawalpur,,No,49,0,551,0,0,Not Offered
Bahawalpur,,Yes,56,0,724,0,0,Not Offered
Bahawalpur,,No,52,0,718,0,0,Not Offered
OPEN,,No,49,0,797,0,0,Not Offered
OPEN,,No,30,0,792,0,0,Not Offered
OPEN,,No,55,0,780,0,0,Not Offered
OPEN,,No,46,0,815,0,0,Not Offered
Bahawalpur,,No,54,0,833,0,0,Not Offered
Bahawalpur,,No,43,0,677,0,0,Not Offered
Bahawalpur,,Yes,56,9,758,0,0,Not Offered
OPEN,,No,50,0,561,0,0,Not Offered
Bahawalpur,,No,59,0,795,0,0,Not Offered
Bahawalpur,,No,50,0,378,0,0,Not Offered
OPEN,,No,49,0,707,0,0,Not Offered
Bahawalpur,,No,51,0,648,0,0,Not Offered
OPEN,,No,64,0,894,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,57,0,791,0,0,Not Offered
Bahawalpur,,No,19,19,633,0,0,Not Offered
Bahawalpur,,No,44,0,600,0,0,Not Offered
Bahawalpur,,No,62,0,570,0,0,Not Offered
Bahawalpur,,No,44,0,801,0,0,Not Offered
OPEN,,No,52,0,636,0,0,Not Offered
Bahawalpur,,Yes,60,0,884,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,41,0,695,0,0,Not Offered
Bahawalpur,,No,43,0,847,0,0,Not Offered
Bahawalpur,,No,51,0,659,0,0,Not Offered
OPEN,,No,50,0,604,0,0,Not Offered
Bahawalpur,,No,33,0,438,0,0,Not Offered
OPEN,,No,47,0,754,0,0,Not Offered
OPEN,,No,52,0,842,0,0,Not Offered
OPEN,,No,0,0,700,0,0,Not Offered
Bahawalpur,,No,56,0,589,0,0,Not Offered
Bahawalpur,,No,52,0,635,0,0,Not Offered
OPEN,,No,25,25,933,0,0,Not Offered
