Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
OPEN,,No,0,0,613,457,0,"Not Offered"
Bahawalpur,,No,49,0,607,480,0,"Not Offered"
Bahawalpur,,No,55,0,648,0,0,"Not Offered"
Bahawalpur,,No,70,0,563,601,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,51,0,510,480,0,"Not Offered"
Bahawalpur,,No,56,0,669,511,0,"Not Offered"
Bahawalpur,,No,49,0,686,480,0,"Not Offered"
OPEN,,No,63,0,700,572,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,45,0,561,471,0,"Not Offered"
OPEN,,No,58,0,752,582,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,762,448,0,"Not Offered"
Bahawalpur,,No,0,0,602,440,0,"Not Offered"
Bahawalpur,,No,45,0,531,397,0,"Not Offered"
Bahawalpur,,No,54,0,732,523,0,"Not Offered"
Bahawalpur,,No,53,0,637,575,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,56,0,557,432,0,"Not Offered"
Bahawalpur,,No,60,0,699,396,0,"Not Offered"
OPEN,,No,49,0,668,487,0,"Not Offered"
OPEN,,No,52,0,685,570,0,"Not Offered"
OPEN,,No,52,0,536,582,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,490,408,0,"Not Offered"
Bahawalpur,,No,58,0,609,473,0,"Not Offered"
Bahawalpur,,No,52,0,656,457,0,"Not Offered"
Bahawalpur,,No,56,0,593,384,0,"Not Offered"
Bahawalpur,,No,43,0,518,436,0,"Not Offered"
OPEN,,No,53,0,666,533,0,"Not Offered"
Bahawalpur,,No,51,0,570,473,0,"Not Offered"
Bahawalpur,,No,61,0,628,404,0,"Not Offered"
Bahawalpur,,No,50,0,728,593,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,725,530,0,"Not Offered"
Bahawalpur,,No,52,0,615,522,0,"Not Offered"
Bahawalpur,,No,50,0,525,514,0,"Not Offered"
Bahawalpur,,No,49,0,570,410,0,"Not Offered"
Bahawalpur,,No,47,0,599,559,0,"Not Offered"
Bahawalpur,,No,42,0,537,485,0,"Not Offered"
Bahawalpur,,Yes,58,0,653,487,0,"Not Offered"
