Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
Bahawalpur,,No,51,0,609,508,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,50,0,521,432,0,Offered_IN_BWP_QUOTA
OPEN,,No,0,0,616,449,0,"Not Offered"
Bahawalpur,,No,56,0,557,432,0,"Not Offered"
Bahawalpur,,No,50,0,490,408,0,"Not Offered"
Bahawalpur,,No,43,0,672,525,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,689,497,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,656,457,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,616,555,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,60,0,679,460,0,"Not Offered"
Bahawalpur,,No,35,0,778,516,0,"Not Offered"
Bahawalpur,,No,47,0,599,559,0,Offered_IN_BWP_QUOTA
OPEN,,No,53,0,754,544,0,"Not Offered"
Bahawalpur,,No,0,0,544,460,0,"Not Offered"
Bahawalpur,,No,53,0,520,440,0,"Not Offered"
Bahawalpur,,No,54,0,707,472,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,785,538,0,Offered_IN_OPEN_QUOTA
OPEN,,No,50,0,557,618,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,46,0,522,464,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,513,494,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,51,0,667,456,0,Offered_IN_BWP_QUOTA
OPEN,,No,49,0,682,600,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,63,0,655,496,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,599,472,0,"Not Offered"
OPEN,,No,0,0,506,497,0,"Not Offered"
Bahawalpur,,No,50,0,599,472,0,"Not Offered"
OPEN,,No,0,0,506,497,0,"Not Offered"
Bahawalpur,,No,47,0,548,487,0,"Not Offered"
Bahawalpur,,No,47,0,546,426,0,"Not Offered"
Bahawalpur,,No,51,0,470,657,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,678,549,0,Offered_IN_OPEN_QUOTA
OPEN,,No,47,0,720,418,0,"Not Offered"
Bahawalpur,,No,50,0,597,559,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,645,455,0,"Not Offered"
Bahawalpur,,No,51,0,633,515,0,Offered_IN_OPEN_QUOTA
OPEN,,No,46,0,590,480,0,"Not Offered"
Bahawalpur,,No,64,0,549,486,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,64,0,696,536,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,60,0,520,424,0,"Not Offered"
Bahawalpur,,Yes,57,0,556,480,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,544,460,0,"Not Offered"
Bahawalpur,,No,53,0,520,440,0,"Not Offered"
Bahawalpur,,No,58,0,619,454,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,698,472,0,"Not Offered"
OPEN,,No,51,0,698,460,0,"Not Offered"
OPEN,,No,50,0,668,481,0,Offered_IN_OPEN_QUOTA
OPEN,,No,57,0,667,600,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,662,521,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,561,480,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,712,567,0,"Not Offered"
OPEN,,No,54,0,561,640,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,0,0,534,410,0,"Not Offered"
Bahawalpur,,No,67,0,711,536,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,52,0,526,421,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,623,491,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,613,476,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,757,543,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,54,0,550,458,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,30,0,937,502,0,"Not Offered"
Bahawalpur,,No,38,0,584,458,0,"Not Offered"
Bahawalpur,,No,54,0,684,500,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,534,410,0,"Not Offered"
Bahawalpur,,No,67,0,711,536,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,0,0,647,485,0,"Not Offered"
Bahawalpur,,No,51,0,609,508,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,50,0,521,432,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,611,516,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,41,0,502,419,0,"Not Offered"
Bahawalpur,,No,72,0,871,660,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,47,0,548,487,0,"Not Offered"
Bahawalpur,,No,47,0,546,426,0,"Not Offered"
Bahawalpur,,Yes,51,0,905,505,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,540,402,0,"Not Offered"
Bahawalpur,,No,50,0,489,440,0,"Not Offered"
Bahawalpur,,No,51,0,710,480,0,Offered_IN_BWP_QUOTA
OPEN,,No,0,0,719,503,0,"Not Offered"
OPEN,,No,50,0,668,481,0,Offered_IN_OPEN_QUOTA
OPEN,,No,57,0,667,600,0,Offered_IN_OPEN_QUOTA
OPEN,,No,37,0,657,489,0,"Not Offered"
OPEN,,No,49,0,736,438,0,"Not Offered"
Bahawalpur,,No,40,0,684,549,0,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,50,0,636,484,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,68,0,794,572,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,55,0,643,383,0,"Not Offered"
Bahawalpur,,Yes,53,0,584,505,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,72,0,519,563,0,"Not Offered"
Bahawalpur,,No,59,0,708,593,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,42,0,655,464,0,"Not Offered"
Bahawalpur,,No,33,0,818,472,0,"Not Offered"
Bahawalpur,,No,51,0,828,548,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,618,532,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,773,488,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,598,454,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,603,507,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,43,0,591,424,0,"Not Offered"
Bahawalpur,,No,0,0,775,574,0,"Not Offered"
OPEN,,No,50,0,688,493,0,"Not Offered"
OPEN,,No,0,0,567,355,0,"Not Offered"
Bahawalpur,,No,37,0,475,529,0,"Not Offered"
Bahawalpur,,Yes,50,0,741,523,0,"Not Offered"
OPEN,,No,52,0,532,488,0,"Not Offered"
Bahawalpur,,No,39,0,733,616,0,"Not Offered"
OPEN,,No,0,0,565,573,0,"Not Offered"
OPEN,,No,47,0,720,418,0,"Not Offered"
Bahawalpur,,No,50,0,597,559,0,Offered_IN_OPEN_QUOTA
OPEN,,No,39,0,650,495,0,"Not Offered"
Bahawalpur,,No,52,0,770,507,0,Offered_IN_BWP_QUOTA
OPEN,,No,43,0,789,485,0,"Not Offered"
Bahawalpur,,No,50,0,648,550,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,65,0,623,481,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,45,0,719,420,0,"Not Offered"
Bahawalpur,,No,68,0,633,566,,Offered_IN_OPEN_QUOTA
