Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,Offered
OPEN,,No,0,0,767,0,"Not Offered"
Bahawalpur,,No,60,0,825,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,58,0,766,0,"Not Offered"
Bahawalpur,,No,52,0,796,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,701,0,"Not Offered"
Bahawalpur,,No,49,0,606,0,"Not Offered"
Bahawalpur,,No,65,0,865,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,48,0,807,0,"Not Offered"
Bahawalpur,,No,48,0,820,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,836,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,858,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,841,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,850,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,55,18,767,0,"Not Offered"
Bahawalpur,,No,48,0,792,0,"Not Offered"
Bahawalpur,,No,54,0,804,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,58,0,760,0,"Not Offered"
Bahawalpur,,No,39,0,827,0,"Not Offered"
Bahawalpur,,No,56,0,825,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,805,0,"Not Offered"
Bahawalpur,,Yes,62,0,744,0,"Not Offered"
Bahawalpur,,No,54,0,913,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,43,0,496,0,"Not Offered"
Bahawalpur,,No,64,0,802,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,671,0,"Not Offered"
Bahawalpur,,No,71,0,752,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,58,0,822,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,853,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,58,0,891,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,48,0,791,0,"Not Offered"
Bahawalpur,,No,51,0,788,0,"Not Offered"
Bahawalpur,,Yes,62,10,753,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,60,0,808,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,11,800,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,793,0,"Not Offered"
Bahawalpur,,No,59,0,782,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,40,0,604,0,"Not Offered"
Bahawalpur,,No,64,0,747,0,"Not Offered"
Bahawalpur,,No,58,0,662,0,"Not Offered"
Bahawalpur,,No,63,0,682,0,"Not Offered"
Bahawalpur,,No,56,0,776,0,"Not Offered"
Bahawalpur,,No,53,0,822,0,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,58,0,638,0,"Not Offered"
Bahawalpur,,No,56,0,830,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,791,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,45,0,698,0,"Not Offered"
Bahawalpur,,No,61,26,784,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,811,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,776,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,824,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,589,0,"Not Offered"
Bahawalpur,,No,63,0,781,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,13,770,0,"Not Offered"
Bahawalpur,,No,48,0,831,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,724,0,"Not Offered"
Bahawalpur,,No,55,0,771,0,"Not Offered"
Bahawalpur,,No,51,0,801,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,55,0,811,0,"Not Offered"
Bahawalpur,,No,85,0,868,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,51,0,773,0,"Not Offered"
Bahawalpur,,No,46,0,802,0,"Not Offered"
Bahawalpur,,No,48,0,832,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,792,0,"Not Offered"
