Domicile,Hafiz-e-Quran,NTS,ECAT-MCAT,FA-FSC,BA-BSC,Offered,Offered-Text
Bahawalpur,No,47,0,650,567,1,Not Offered
Bahawalpur,No,49,0,468,465,1,Not Offered
Bahawalpur,No,58,0,594,442,1,Not Offered
Bahawalpur,Yes,66,0,639,505,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,50,0,567,437,1,Not Offered
Bahawalpur,No,62,0,676,461,1,Not Offered
Bahawalpur,No,58,0,669,471,1,Not Offered
Bahawalpur,Yes,47,0,704,573,1,Not Offered
Bahawalpur,No,46,0,581,397,1,Not Offered
Bahawalpur,No,41,0,522,538,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,57,0,701,497,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,56,0,559,466,1,Not Offered
Bahawalpur,No,49,0,684,556,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,40,0,460,509,1,Not Offered
Bahawalpur,No,44,0,499,464,1,Not Offered
Bahawalpur,No,45,0,440,470,1,Not Offered
Bahawalpur,No,53,0,610,482,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,49,0,725,530,1,Not Offered
Bahawalpur,No,59,0,682,461,1,Not Offered
Bahawalpur,No,49,0,552,453,1,Not Offered
Bahawalpur,No,46,0,600,465,1,Not Offered
Bahawalpur,No,47,0,672,544,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,53,0,448,489,3,Offered_IN_BWP_QUOTA
Bahawalpur,Yes,52,0,673,519,2,Offered_IN_OPEN_QUOTA
OPEN,No,52,0,436,457,1,Not Offered
Bahawalpur,No,53,0,612,536,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,50,0,562,458,1,Not Offered
Bahawalpur,No,50,0,885,453,1,Not Offered
Bahawalpur,No,56,0,656,508,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,55,0,594,561,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,52,0,533,613,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,59,0,506,447,1,Not Offered
Bahawalpur,No,58,0,526,494,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,63,0,521,440,1,Not Offered
Bahawalpur,Yes,49,0,444,467,1,Not Offered
Bahawalpur,No,47,0,558,495,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,60,0,583,533,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,57,0,505,538,2,Offered_IN_OPEN_QUOTA
Bahawalpur,No,49,0,698,592,1,Not Offered
Bahawalpur,No,55,0,508,510,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,50,0,627,461,1,Not Offered
Bahawalpur,No,47,0,492,492,1,Not Offered
Bahawalpur,No,58,0,650,456,1,Not Offered
Bahawalpur,Yes,57,0,545,459,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,63,0,547,488,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,59,0,658,444,1,Not Offered
Bahawalpur,No,55,0,486,503,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,45,0,633,463,1,Not Offered
Bahawalpur,Yes,50,0,526,514,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,45,0,507,486,1,Not Offered
Bahawalpur,No,58,0,470,480,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,52,0,615,522,3,Offered_IN_BWP_QUOTA
Bahawalpur,No,49,0,577,490,1,Not Offered
