Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,Offered
OPEN,,No,44,0,840,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,720,0,"Not Offered"
Bahawalpur,,No,38,0,757,0,"Not Offered"
Bahawalpur,,No,50,0,763,0,"Not Offered"
Bahawalpur,,No,58,0,729,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,622,0,"Not Offered"
Bahawalpur,,No,52,0,718,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,701,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,606,0,"Not Offered"
Bahawalpur,,No,56,0,648,0,"Not Offered"
Bahawalpur,,No,52,0,701,0,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,50,0,671,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,65,0,692,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,711,0,"Not Offered"
Bahawalpur,,No,50,0,752,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,51,0,718,0,"Not Offered"
Bahawalpur,,Yes,56,0,877,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,55,0,616,0,"Not Offered"
Bahawalpur,,No,56,0,703,0,"Not Offered"
Bahawalpur,,No,59,0,722,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,634,0,"Not Offered"
Bahawalpur,,No,55,0,732,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,661,0,"Not Offered"
Bahawalpur,,No,46,0,647,0,"Not Offered"
Bahawalpur,,No,57,0,702,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,714,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,770,0,"Not Offered"
Bahawalpur,,No,61,0,624,0,"Not Offered"
Bahawalpur,,No,56,0,668,0,"Not Offered"
Bahawalpur,,No,44,0,825,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,61,0,666,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,55,0,713,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,79,79,974,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,666,0,"Not Offered"
Bahawalpur,,No,54,0,733,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,828,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,58,0,760,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,722,0,Offered_IN_BWP_QUOTA
OPEN,,Yes,73,73,935,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,39,0,827,0,"Not Offered"
Bahawalpur,,Yes,61,0,684,0,"Not Offered"
Bahawalpur,,No,44,0,653,0,"Not Offered"
Bahawalpur,,No,38,0,802,0,"Not Offered"
Bahawalpur,,No,40,0,907,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,55,0,675,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,644,0,"Not Offered"
Bahawalpur,,No,48,0,817,0,"Not Offered"
Bahawalpur,,No,62,0,791,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,48,0,671,0,"Not Offered"
Bahawalpur,,No,52,0,671,0,"Not Offered"
Bahawalpur,,No,48,0,668,0,"Not Offered"
Bahawalpur,,No,45,0,664,0,"Not Offered"
Bahawalpur,,No,41,0,730,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,667,0,"Not Offered"
Bahawalpur,,No,40,0,754,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,608,0,"Not Offered"
Bahawalpur,,No,51,0,682,0,"Not Offered"
Bahawalpur,,No,54,19,652,0,"Not Offered"
Bahawalpur,,No,52,0,710,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,83,83,958,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,60,0,694,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,64,0,660,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,680,0,"Not Offered"
Bahawalpur,,No,49,0,595,0,"Not Offered"
Bahawalpur,,No,70,0,898,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,47,0,661,0,"Not Offered"
Bahawalpur,,No,58,0,891,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,51,18,744,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,741,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,707,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,727,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,76,0,617,0,"Not Offered"
Bahawalpur,,No,54,0,750,0,Offered_IN_BWP_QUOTA
