Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
OPEN,,No,0,0,734,0,136,Not Offered
Bahawalpur,,No,65,65,967,0,173,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,44,0,857,0,177,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,812,0,160,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,763,0,147,Not Offered
Bahawalpur,,No,0,0,842,0,170,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,54,882,0,173,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,606,0,132,Not Offered
Bahawalpur,,No,53,0,789,0,160,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,524,0,136,Not Offered
Bahawalpur,,No,47,0,879,0,153,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,841,0,109,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,929,0,179,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,48,0,903,0,150,Offered_IN_BWP_QUOTA
Bahawalpur,,No,37,0,892,0,158,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,879,0,171,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,785,0,126,Not Offered
Bahawalpur,,No,57,0,911,0,164,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,0,0,792,0,99,Not Offered
Bahawalpur,,No,88,88,942,0,159,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,48,43,907,0,175,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,59,0,770,0,140,Not Offered
Bahawalpur,,No,61,0,624,0,124,Not Offered
Bahawalpur,,No,33,0,796,0,133,Not Offered
Bahawalpur,,No,54,0,903,0,150,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,816,0,146,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,47,0,841,0,157,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,752,0,164,Not Offered
Bahawalpur,,No,55,0,824,0,153,Offered_IN_BWP_QUOTA
