Domicile,Hafiz e Quran,NTS,FA/FSC,Offered
OPEN,No,0,767,Not Offered
BWP,No,60,825,Offered
BWP,No,58,766,Not Offered
BWP,No,52,796,Offered
BWP,No,50,701,Not Offered
BWP,No,49,606,Not Offered
BWP,No,65,865,Offered
BWP,No,48,807,Not Offered
BWP,No,48,820,Offered
BWP,No,52,836,Offered
BWP,No,46,858,Offered
BWP,No,47,841,Offered
BWP,No,53,850,Offered
BWP,No,55,767,Not Offered
BWP,No,48,792,Not Offered
BWP,No,54,804,Offered
BWP,No,58,760,Not Offered
BWP,No,39,827,Not Offered
BWP,No,56,825,Offered
BWP,No,50,805,Not Offered
BWP,Yes,62,744,Not Offered
BWP,No,54,913,Offered
BWP,No,43,496,Not Offered
BWP,No,64,802,Offered
BWP,No,48,671,Not Offered
BWP,No,71,752,Offered
BWP,No,58,822,Offered
BWP,No,53,853,Offered
BWP,No,58,891,Offered
BWP,No,48,791,Not Offered
BWP,No,51,788,Not Offered
BWP,Yes,62,753,Offered
BWP,No,60,808,Offered
BWP,No,53,800,Offered
BWP,No,49,793,Not Offered
BWP,No,59,782,Offered
BWP,No,40,604,Not Offered
BWP,No,64,747,Not Offered
BWP,No,58,662,Not Offered
BWP,No,63,682,Not Offered
BWP,No,56,776,Not Offered
BWP,No,53,822,Offered
BWP,Yes,58,638,Not Offered
BWP,No,56,830,Offered
BWP,No,53,791,Offered
BWP,No,45,698,Not Offered
BWP,No,61,784,Offered
BWP,No,52,811,Offered
BWP,No,63,776,Offered
BWP,No,57,824,Offered
BWP,No,52,589,Not Offered
BWP,No,63,781,Offered
BWP,No,54,770,Not Offered
BWP,No,48,831,Offered
BWP,No,42,724,Not Offered
BWP,No,55,771,Not Offered
BWP,No,51,801,Offered
BWP,No,55,811,Not Offered
BWP,No,85,868,Offered
BWP,No,51,773,Not Offered
BWP,No,46,802,Not Offered
BWP,No,48,832,Offered
BWP,No,52,792,Not Offered
BWP,No,58,697,Not Offered
BWP,No,40,583,Not Offered
BWP,No,40,859,Not Offered
BWP,No,41,840,Offered
OPEN,No,56,829,Offered
OPEN,No,48,861,Offered
OPEN,No,53,815,Offered
OPEN,No,52,856,Offered
OPEN,No,63,884,Offered
OPEN,No,48,704,Not Offered
OPEN,No,73,834,Offered
OPEN,No,49,842,Offered
OPEN,No,52,828,Offered
OPEN,No,60,927,Offered
BWP,No,51,825,Offered
OPEN,No,46,918,Offered
OPEN,No,42,856,Offered
OPEN,No,52,690,Not Offered
OPEN,Yes,59,890,Offered
OPEN,No,56,851,Offered
OPEN,No,42,878,Offered
OPEN,No,62,913,Offered
OPEN,No,54,854,Offered
OPEN,No,59,791,Offered
OPEN,No,50,592,Not Offered
OPEN,No,45,601,Not Offered
OPEN,No,40,709,Not Offered
OPEN,No,55,951,Offered
OPEN,No,66,888,Offered
OPEN,No,67,925,Offered
BWP,No,65,773,Not Offered
BWP,No,44,801,Not Offered
OPEN,No,76,917,Offered
OPEN,No,52,839,Offered
OPEN,No,50,736,Not Offered
OPEN,No,63,831,Offered
OPEN,No,54,852,Offered
OPEN,No,40,765,Not Offered
OPEN,No,52,848,Offered
OPEN,No,57,853,Offered
OPEN,No,68,809,Offered
OPEN,No,48,794,Not Offered
OPEN,No,50,702,Not Offered
