Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,Offered
OPEN,,No,0,0,689,0,"Not Offered"
Bahawalpur,,No,59,0,1100,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,49,11,841,0,"Not Offered"
Bahawalpur,,No,55,0,850,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,893,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,46,0,773,0,"Not Offered"
Bahawalpur,,No,56,0,829,0,"Not Offered"
Bahawalpur,,No,54,0,813,0,"Not Offered"
Bahawalpur,,No,51,0,802,0,"Not Offered"
Bahawalpur,,No,49,0,606,0,"Not Offered"
Bahawalpur,,No,60,0,815,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,814,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,60,0,804,0,"Not Offered"
Bahawalpur,,No,48,0,820,0,"Not Offered"
Bahawalpur,,No,51,0,882,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,61,0,624,0,"Not Offered"
Bahawalpur,,Yes,55,0,802,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,836,0,"Not Offered"
Bahawalpur,,No,54,0,843,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,841,0,"Not Offered"
Bahawalpur,,No,53,0,850,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,795,0,"Not Offered"
Bahawalpur,,No,67,67,954,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,56,0,825,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,805,0,"Not Offered"
Bahawalpur,,No,50,0,834,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,913,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,58,19,865,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,62,0,791,0,"Not Offered"
Bahawalpur,,No,64,0,802,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,671,0,"Not Offered"
Bahawalpur,,No,46,0,849,0,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,47,0,902,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,58,0,822,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,853,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,68,0,924,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,40,0,692,0,"Not Offered"
Bahawalpur,,No,60,0,808,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,56,0,817,0,"Not Offered"
Bahawalpur,,No,53,11,800,0,"Not Offered"
Bahawalpur,,Yes,46,0,721,0,"Not Offered"
Bahawalpur,,No,42,0,598,0,"Not Offered"
Bahawalpur,,No,40,0,604,0,"Not Offered"
Bahawalpur,,No,52,11,812,0,"Not Offered"
Bahawalpur,,No,71,0,744,0,"Not Offered"
Bahawalpur,,No,31,0,511,0,"Not Offered"
Bahawalpur,,No,62,0,838,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,58,0,662,0,"Not Offered"
Bahawalpur,,No,63,0,682,0,"Not Offered"
Bahawalpur,,No,66,66,913,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,822,0,"Not Offered"
Bahawalpur,,No,48,0,807,0,"Not Offered"
Bahawalpur,,Yes,62,0,707,0,"Not Offered"
Bahawalpur,,No,56,0,830,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,791,0,"Not Offered"
Bahawalpur,,No,67,0,938,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,45,0,698,0,"Not Offered"
Bahawalpur,,No,61,26,784,0,"Not Offered"
Bahawalpur,,No,52,0,811,0,"Not Offered"
Bahawalpur,,No,63,0,776,0,"Not Offered"
Bahawalpur,,No,50,0,764,0,"Not Offered"
Bahawalpur,,No,56,0,643,0,"Not Offered"
Bahawalpur,,No,50,0,492,0,"Not Offered"
Bahawalpur,,No,47,0,850,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,824,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,589,0,"Not Offered"
Bahawalpur,,No,47,0,857,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,781,0,"Not Offered"
Bahawalpur,,No,82,0,972,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,52,0,803,0,"Not Offered"
Bahawalpur,,No,42,0,724,0,"Not Offered"
Bahawalpur,,No,53,0,810,0,"Not Offered"
Bahawalpur,,No,40,0,523,0,"Not Offered"
Bahawalpur,,No,55,0,811,0,"Not Offered"
Bahawalpur,,No,51,0,845,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,55,55,864,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,645,0,"Not Offered"
Bahawalpur,,No,61,0,920,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,61,0,907,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,85,0,868,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,63,0,703,0,"Not Offered"
Bahawalpur,,No,51,0,773,0,"Not Offered"
Bahawalpur,,No,54,0,846,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,874,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,867,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,854,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,813,0,"Not Offered"
Bahawalpur,,No,65,0,814,0,Offered_IN_BWP_QUOTA
