Domicile,Hafiz e Quran,NTS,BA/BSC,Offered
BWP,No,47,567,Not Offered
BWP,No,49,465,Not Offered
BWP,No,58,442,Not Offered
BWP,Yes,66,505,Offered
BWP,No,50,437,Not Offered
BWP,No,62,461,Not Offered
BWP,No,58,471,Not Offered
BWP,Yes,47,573,Not Offered
BWP,No,46,397,Not Offered
BWP,No,41,538,Offered
BWP,No,57,497,Offered
BWP,No,56,466,Not Offered
BWP,No,49,556,Offered
BWP,No,40,509,Not Offered
BWP,No,44,464,Not Offered
BWP,No,45,470,Not Offered
BWP,No,53,482,Offered
BWP,No,49,530,Not Offered
BWP,No,59,461,Not Offered
BWP,No,49,453,Not Offered
BWP,No,46,465,Not Offered
BWP,No,47,544,Offered
BWP,No,53,489,Offered
BWP,Yes,52,519,Offered
OPEN,No,52,457,Not Offered
BWP,No,53,536,Offered
BWP,No,50,458,Not Offered
BWP,No,50,453,Not Offered
BWP,No,56,508,Offered
BWP,No,55,561,Offered
BWP,No,52,613,Offered
BWP,No,59,447,Not Offered
BWP,No,58,494,Offered
BWP,No,63,440,Not Offered
BWP,Yes,49,467,Not Offered
BWP,No,47,495,Offered
BWP,No,60,533,Offered
BWP,No,57,538,Offered
BWP,No,49,592,Not Offered
BWP,No,55,510,Offered
BWP,No,50,461,Not Offered
BWP,No,47,492,Not Offered
BWP,No,58,456,Not Offered
BWP,Yes,57,459,Offered
BWP,No,63,488,Offered
BWP,No,59,444,Not Offered
BWP,No,55,503,Offered
BWP,No,45,463,Not Offered
BWP,Yes,50,514,Offered
BWP,No,45,486,Not Offered
BWP,No,58,480,Offered
BWP,No,52,522,Offered
BWP,No,49,490,Not Offered
BWP,Yes,58,487,Not Offered
BWP,No,59,530,Offered
BWP,No,50,582,Not Offered
BWP,No,62,420,Not Offered
BWP,No,62,548,Not Offered
BWP,No,47,462,Not Offered
BWP,No,52,555,Offered
BWP,No,53,484,Offered
BWP,Yes,53,503,Offered
BWP,No,53,492,Offered
BWP,No,56,515,Offered
BWP,No,61,450,Not Offered
BWP,No,56,492,Not Offered
BWP,No,51,454,Not Offered
BWP,No,61,520,Not Offered
BWP,No,55,531,Offered
BWP,No,56,503,Not Offered
BWP,No,54,500,Offered
BWP,No,56,530,Offered
BWP,No,51,548,Offered
BWP,No,53,480,Not Offered
BWP,No,49,547,Offered
BWP,No,64,438,Not Offered
BWP,No,54,557,Offered
BWP,No,52,464,Not Offered
BWP,No,61,520,Offered
BWP,No,58,470,Not Offered
BWP,No,54,494,Offered
BWP,No,43,458,Not Offered
BWP,No,62,438,Not Offered
BWP,No,50,482,Not Offered
BWP,No,58,497,Offered
BWP,No,55,533,Offered
BWP,Yes,47,480,Offered
BWP,No,58,470,Offered
BWP,No,48,496,Offered
BWP,No,54,480,Not Offered
BWP,No,49,464,Not Offered
BWP,No,49,482,Not Offered
BWP,No,63,432,Not Offered
BWP,No,52,480,Not Offered
BWP,Yes,48,430,Not Offered
BWP,No,50,489,Offered
BWP,No,51,598,Offered
BWP,No,60,549,Offered
BWP,No,50,465,Not Offered
BWP,No,50,444,Not Offered
BWP,No,62,524,Offered
BWP,No,49,480,Not Offered
BWP,No,68,502,Offered
BWP,No,55,528,Offered
OPEN,No,27,568,Not Offered
BWP,No,47,469,Not Offered
OPEN,No,53,507,Not Offered
OPEN,No,66,468,Not Offered
OPEN,No,61,542,Offered
OPEN,No,58,494,Not Offered
OPEN,No,57,509,Not Offered
OPEN,No,60,504,Not Offered
OPEN,No,53,519,Offered
OPEN,No,41,459,Not Offered
BWP,No,53,509,Offered
OPEN,No,57,502,Not Offered
