Domicile,Hafiz e Quran,ITNERVIEW,NTS,BA/BSC,Offered
BWP,No,5,55,402,Offered
BWP,No,5,50,474,Offered
BWP,No,0,46,397,Offered
BWP,No,5,45,501,Offered
BWP,No,5,49,472,Offered
BWP,No,0,46,483,Offered
BWP,No,5,62,500,Offered
BWP,No,5,58,458,Offered
BWP,Yes,5,53,450,Offered
BWP,No,5,55,397,Offered
BWP,Yes,5,47,463,Offered
BWP,No,5,54,421,Offered
BWP,No,5,79,702,Offered
BWP,No,5,62,438,Offered
BWP,No,5,56,480,Offered
BWP,No,5,50,375,Offered
BWP,No,5,62,420,Offered
BWP,No,5,73,506,Offered
BWP,No,5,52,489,Offered
BWP,No,5,56,503,Offered
BWP,No,5,49,516,Offered
BWP,No,5,43,424,Offered
BWP,No,5,42,461,Offered
BWP,No,5,58,470,Offered
BWP,No,5,51,415,Offered
BWP,No,5,42,428,Offered
BWP,No,5,53,395,Offered
BWP,No,5,52,450,Offered
BWP,No,5,48,402,Offered
BWP,No,5,53,426,Offered
BWP,Yes,0,51,555,Offered
OPEN,No,5,49,600,Offered
OPEN,No,5,49,534,Offered
OPEN,No,5,50,554,Offered
OPEN,No,5,57,490,Offered
OPEN,No,5,60,506,Offered
OPEN,No,5,55,514,Offered
OPEN,No,5,52,497,Offered
OPEN,No,0,30,505,Not Offered
OPEN,No,5,43,426,Offered
OPEN,No,5,49,467,Offered
OPEN,No,5,66,462,Offered
OPEN,No,5,47,418,Offered
OPEN,No,5,47,495,Offered
OPEN,No,5,70,531,Offered
BWP,No,5,53,509,Offered
OPEN,No,5,43,438,Offered
OPEN,No,5,47,403,Not Offered
