Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,Offered
Bahawalpur,,No,55,0,626,402,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,761,474,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,581,397,Offered_IN_BWP_QUOTA
Bahawalpur,,No,45,0,557,501,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,757,472,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,602,483,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,730,500,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,58,0,584,458,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,53,0,672,450,Offered_IN_BWP_QUOTA
Bahawalpur,,No,55,0,618,397,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,47,0,725,463,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,565,421,Offered_IN_BWP_QUOTA
Bahawalpur,,No,79,0,741,702,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,62,0,690,438,Offered_IN_BWP_QUOTA
Bahawalpur,,No,56,0,585,480,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,518,375,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,672,420,Offered_IN_BWP_QUOTA
Bahawalpur,,No,73,0,545,506,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,52,0,714,489,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,56,0,560,503,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,49,0,778,516,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,43,0,591,424,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,660,461,Offered_IN_BWP_QUOTA
Bahawalpur,,No,58,0,501,470,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,51,0,586,415,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,716,428,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,618,395,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,545,450,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,540,402,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,597,426,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,51,0,608,555,Offered_IN_OPEN_QUOTA
OPEN,,No,49,0,664,600,Offered_IN_OPEN_QUOTA
OPEN,,No,49,0,682,534,Offered_IN_OPEN_QUOTA
OPEN,,No,50,0,695,554,Offered_IN_OPEN_QUOTA
OPEN,,No,57,0,789,490,Offered_IN_OPEN_QUOTA
OPEN,,No,60,0,763,506,Offered_IN_OPEN_QUOTA
OPEN,,No,55,0,693,514,Offered_IN_OPEN_QUOTA
OPEN,,No,52,0,535,497,Offered_IN_OPEN_QUOTA
OPEN,,No,30,0,811,505,"Not Offered"
OPEN,,No,43,0,610,426,Offered_IN_OPEN_QUOTA
OPEN,,No,49,0,690,467,Offered_IN_OPEN_QUOTA
OPEN,,No,66,0,503,462,Offered_IN_OPEN_QUOTA
OPEN,,No,47,0,720,418,Offered_IN_OPEN_QUOTA
OPEN,,No,47,0,650,495,Offered_IN_OPEN_QUOTA
OPEN,,No,70,0,663,531,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,845,509,Offered_IN_OPEN_QUOTA
OPEN,,No,43,0,604,438,Offered_IN_OPEN_QUOTA
OPEN,,No,47,0,562,403,"Not Offered"
