Merit Score,Domicile,Programme
83,Bahawalpur,BS CS
53,Bahawalpur,BS CS
54,Bahawalpur,BS CS
77,Bahawalpur,BS CS
55,Bahawalpur,BS CS
72,Bahawalpur,BS CS
58,Bahawalpur,BS CS
54,Bahawalpur,BS CS
59,Bahawalpur,BS CS
61,Bahawalpur,BS CS
53,Bahawalpur,BS CS
72,Bahawalpur,BS CS
60,Bahawalpur,BS CS
61,Bahawalpur,BS CS
62,Bahawalpur,BS CS
52,Bahawalpur,BS CS
73,Bahawalpur,BS CS
56,Bahawalpur,BS CS
60,Bahawalpur,BS CS
58,Bahawalpur,BS CS
63,Bahawalpur,BS CS
50,Bahawalpur,BS CS
63,Bahawalpur,BS CS
55,Bahawalpur,BS CS
64,Bahawalpur,BS CS
65,Bahawalpur,BS CS
62,Bahawalpur,BS CS
57,Bahawalpur,BS CS
60,Bahawalpur,BS CS
49,Bahawalpur,BS CS
53,Bahawalpur,BS CS
59,Bahawalpur,BS CS
54,Bahawalpur,BS CS
62,Bahawalpur,BS CS
68,Bahawalpur,BS CS
61,Bahawalpur,BS CS
75,Bahawalpur,BS CS
48,Bahawalpur,BS CS
58,Bahawalpur,BS CS
59,Bahawalpur,BS CS
54,Bahawalpur,BS CS
67,Bahawalpur,BS CS
56,Bahawalpur,BS CS
51,Bahawalpur,BS CS
59,Bahawalpur,BS CS
61,Bahawalpur,BS CS
62,Bahawalpur,BS CS
58,Bahawalpur,BS CS
54,Bahawalpur,BS CS
58,Bahawalpur,BS CS
55,Bahawalpur,BS CS
60,Bahawalpur,BS CS
54,Bahawalpur,BS CS
60,Bahawalpur,BS CS
49,Bahawalpur,BS CS
55,Bahawalpur,BS CS
70,Bahawalpur,BS CS
65,Bahawalpur,BS CS
61,Bahawalpur,BS CS
51,Bahawalpur,BS CS
58,Bahawalpur,BS CS
57,Bahawalpur,BS CS
52,Bahawalpur,BS CS
61,OPEN,BS CS
66,OPEN,BS CS
70,OPEN,BS CS
61,OPEN,BS CS
92,Bahawalpur,BS CS
81,Bahawalpur,BS CS
74,Bahawalpur,BS CS
72,Bahawalpur,BS CS
77,Bahawalpur,BS CS
75,Bahawalpur,BS CS
83,Bahawalpur,BS CS
72,Bahawalpur,BS CS
77,Bahawalpur,BS CS
82,Bahawalpur,BS CS
74,Bahawalpur,BS CS
77,Bahawalpur,BS CS
65,Bahawalpur,BS CS
60,Bahawalpur,BS CS
83,Bahawalpur,BS CS
75,Bahawalpur,BS CS
85,Bahawalpur,BS CS
63,Bahawalpur,BS CS
74,Bahawalpur,BS CS
76,Bahawalpur,BS CS
83,Bahawalpur,BS CS
82,Bahawalpur,BS CS
78,Bahawalpur,BS CS
76,Bahawalpur,BS CS
79,Bahawalpur,BS CS
78,Bahawalpur,BS CS
77,Bahawalpur,BS CS
74,Bahawalpur,BS CS
78,Bahawalpur,BS CS
79,Bahawalpur,BS CS
77,OPEN,BS CS
77,OPEN,BS CS
77,Bahawalpur,BS CS
83,OPEN,BS CS
83,OPEN,BS CS
80,OPEN,BS CS
76,OPEN,BS CS
84,OPEN,BS CS
77,OPEN,BS CS
78,OPEN,BS CS
75,Bahawalpur,BS CS
70,OPEN,BS CS
59,Bahawalpur,BBA (Hons) after 12 years of education
56,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
77,Bahawalpur,BBA (Hons) after 12 years of education
55,Bahawalpur,BBA (Hons) after 12 years of education
58,Bahawalpur,BBA (Hons) after 12 years of education
59,Bahawalpur,BBA (Hons) after 12 years of education
83,Bahawalpur,BBA (Hons) after 12 years of education
53,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
56,Bahawalpur,BBA (Hons) after 12 years of education
58,OPEN,BBA (Hons) after 12 years of education
48,Bahawalpur,BBA (Hons) after 12 years of education
67,Bahawalpur,BBA (Hons) after 12 years of education
64,Bahawalpur,BBA (Hons) after 12 years of education
48,Bahawalpur,BBA (Hons) after 12 years of education
45,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
69,Bahawalpur,BBA (Hons) after 12 years of education
46,Bahawalpur,BBA (Hons) after 12 years of education
45,Bahawalpur,BBA (Hons) after 12 years of education
73,Bahawalpur,BBA (Hons) after 12 years of education
69,Bahawalpur,BBA (Hons) after 12 years of education
53,Bahawalpur,BBA (Hons) after 12 years of education
65,Bahawalpur,BBA (Hons) after 12 years of education
57,Bahawalpur,BBA (Hons) after 12 years of education
45,Bahawalpur,BBA (Hons) after 12 years of education
66,Bahawalpur,BBA (Hons) after 12 years of education
63,Bahawalpur,BBA (Hons) after 12 years of education
61,Bahawalpur,BBA (Hons) after 12 years of education
62,Bahawalpur,BBA (Hons) after 12 years of education
68,Bahawalpur,BBA (Hons) after 12 years of education
79,Bahawalpur,BBA (Hons) after 12 years of education
66,Bahawalpur,BBA (Hons) after 12 years of education
63,Bahawalpur,BBA (Hons) after 12 years of education
64,Bahawalpur,BBA (Hons) after 12 years of education
75,Bahawalpur,BBA (Hons) after 12 years of education
88,Bahawalpur,BBA (Hons) after 12 years of education
75,Bahawalpur,BBA (Hons) after 12 years of education
69,Bahawalpur,BBA (Hons) after 12 years of education
82,Bahawalpur,BBA (Hons) after 12 years of education
61,Bahawalpur,BBA (Hons) after 12 years of education
71,Bahawalpur,BBA (Hons) after 12 years of education
66,Bahawalpur,BBA (Hons) after 12 years of education
68,Bahawalpur,BBA (Hons) after 12 years of education
87,Bahawalpur,BBA (Hons) after 12 years of education
63,Bahawalpur,BBA (Hons) after 12 years of education
60,Bahawalpur,BBA (Hons) after 12 years of education
81,Bahawalpur,BBA (Hons) after 12 years of education
