Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
Bahawalpur,,No,47,0,650,567,0,Not Offered
Bahawalpur,,No,49,0,468,465,0,Not Offered
Bahawalpur,,No,58,0,594,442,0,Not Offered
Bahawalpur,,Yes,66,0,639,505,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,567,437,0,Not Offered
Bahawalpur,,No,62,0,676,461,0,Not Offered
Bahawalpur,,No,58,0,669,471,0,Not Offered
Bahawalpur,,Yes,47,0,704,573,0,Not Offered
Bahawalpur,,No,46,0,581,397,0,Not Offered
Bahawalpur,,No,41,0,522,538,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,701,497,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,56,0,559,466,0,Not Offered
Bahawalpur,,No,49,0,684,556,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,40,0,460,509,0,Not Offered
Bahawalpur,,No,44,0,499,464,0,Not Offered
Bahawalpur,,No,45,0,440,470,0,Not Offered
Bahawalpur,,No,53,0,610,482,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,725,530,0,Not Offered
Bahawalpur,,No,59,0,682,461,0,Not Offered
Bahawalpur,,No,49,0,552,453,0,Not Offered
Bahawalpur,,No,46,0,600,465,0,Not Offered
Bahawalpur,,No,47,0,672,544,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,448,489,0,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,52,0,673,519,0,Offered_IN_OPEN_QUOTA
OPEN,,No,52,0,436,457,0,Not Offered
Bahawalpur,,No,53,0,612,536,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,562,458,0,Not Offered
Bahawalpur,,No,50,0,885,453,0,Not Offered
Bahawalpur,,No,56,0,656,508,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,55,0,594,561,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,52,0,533,613,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,59,0,506,447,0,Not Offered
Bahawalpur,,No,58,0,526,494,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,521,440,0,Not Offered
Bahawalpur,,Yes,49,0,444,467,0,Not Offered
Bahawalpur,,No,47,0,558,495,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,60,0,583,533,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,57,0,505,538,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,49,0,698,592,0,Not Offered
Bahawalpur,,No,55,0,508,510,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,627,461,0,Not Offered
Bahawalpur,,No,47,0,492,492,0,Not Offered
Bahawalpur,,No,58,0,650,456,0,Not Offered
Bahawalpur,,Yes,57,0,545,459,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,63,0,547,488,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,658,444,0,Not Offered
Bahawalpur,,No,55,0,486,503,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,45,0,633,463,0,Not Offered
Bahawalpur,,Yes,50,0,526,514,0,Offered_IN_BWP_QUOTA
