Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
OPEN,,No,0,0,824,0,151,"Not Offered"
Bahawalpur,,No,80,0,957,0,177,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,54,0,795,0,127,"Not Offered"
Bahawalpur,,No,50,0,785,0,133,"Not Offered"
Bahawalpur,,No,0,0,596,0,116,"Not Offered"
Bahawalpur,,No,43,0,804,0,151,"Not Offered"
Bahawalpur,,No,46,0,714,0,132,"Not Offered"
Bahawalpur,,No,0,0,719,0,118,"Not Offered"
Bahawalpur,,No,0,0,811,0,111,"Not Offered"
Bahawalpur,,No,81,0,926,0,183,Offered_IN_OPEN_QUOTA
Bahawalpur,,Yes,0,0,754,0,78,"Not Offered"
Bahawalpur,,No,0,0,663,0,95,"Not Offered"
Bahawalpur,,No,44,0,724,0,149,"Not Offered"
Bahawalpur,,No,0,0,612,0,121,"Not Offered"
Bahawalpur,,No,47,0,872,0,159,"Not Offered"
Bahawalpur,,No,40,0,635,0,100,"Not Offered"
Bahawalpur,,No,44,0,766,0,119,"Not Offered"
Bahawalpur,,No,49,0,831,0,115,"Not Offered"
Bahawalpur,,No,51,0,648,0,99,"Not Offered"
Bahawalpur,,No,63,0,868,0,175,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,912,0,156,Offered_IN_BWP_QUOTA
Bahawalpur,,No,47,0,834,0,142,"Not Offered"
Bahawalpur,,No,64,0,829,0,158,"Not Offered"
Bahawalpur,,No,0,0,866,0,137,"Not Offered"
Bahawalpur,,No,0,0,775,0,136,"Not Offered"
Bahawalpur,,No,0,0,643,0,59,"Not Offered"
Bahawalpur,,No,53,0,652,0,102,"Not Offered"
Bahawalpur,,No,47,0,822,0,145,"Not Offered"
Bahawalpur,,No,0,0,715,0,118,"Not Offered"
Bahawalpur,,No,41,0,799,0,117,"Not Offered"
OPEN,,No,59,0,795,0,133,"Not Offered"
Bahawalpur,,No,46,0,561,0,95,"Not Offered"
Bahawalpur,,No,0,0,869,0,154,"Not Offered"
Bahawalpur,,No,43,0,705,0,130,"Not Offered"
Bahawalpur,,No,42,0,773,0,120,"Not Offered"
Bahawalpur,,No,0,0,828,0,144,"Not Offered"
Bahawalpur,,No,0,0,680,0,106,"Not Offered"
Bahawalpur,,No,47,0,523,0,90,"Not Offered"
Bahawalpur,,No,0,0,771,0,131,"Not Offered"
Bahawalpur,,No,56,0,720,0,100,"Not Offered"
Bahawalpur,,Yes,0,0,585,0,109,"Not Offered"
Bahawalpur,,No,0,0,664,0,112,"Not Offered"
Bahawalpur,,No,0,0,698,0,120,"Not Offered"
Bahawalpur,,No,0,0,621,0,123,"Not Offered"
Bahawalpur,,No,0,0,706,0,119,"Not Offered"
Bahawalpur,,No,48,0,849,0,143,"Not Offered"
Bahawalpur,,No,78,0,930,0,165,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,658,0,79,"Not Offered"
Bahawalpur,,No,46,0,562,0,112,"Not Offered"
Bahawalpur,,No,0,0,626,0,129,"Not Offered"
Bahawalpur,,No,68,0,836,0,155,"Not Offered"
Bahawalpur,,No,57,0,881,0,166,Offered_IN_BWP_QUOTA
Bahawalpur,,No,58,0,829,0,160,"Not Offered"
Bahawalpur,,No,0,0,847,0,158,"Not Offered"
Bahawalpur,,No,56,0,766,0,135,"Not Offered"
Bahawalpur,,No,0,0,938,0,157,Offered_IN_BWP_QUOTA
Bahawalpur,,No,31,0,616,0,74,"Not Offered"
Bahawalpur,,No,63,0,888,0,160,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,753,0,151,"Not Offered"
Bahawalpur,,No,67,0,968,0,169,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,0,0,687,0,74,"Not Offered"
Bahawalpur,,No,48,0,769,0,169,"Not Offered"
Bahawalpur,,No,0,0,745,0,157,"Not Offered"
Bahawalpur,,No,42,0,715,0,134,"Not Offered"
Bahawalpur,,No,59,0,680,0,145,"Not Offered"
Bahawalpur,,No,0,0,596,0,69,"Not Offered"
Bahawalpur,,No,46,0,703,0,132,"Not Offered"
Bahawalpur,,No,53,0,639,0,126,"Not Offered"
Bahawalpur,,No,48,0,851,0,161,"Not Offered"
Bahawalpur,,No,56,0,680,0,118,"Not Offered"
Bahawalpur,,No,0,0,876,0,180,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,683,0,123,"Not Offered"
Bahawalpur,,No,53,0,783,0,148,"Not Offered"
Bahawalpur,,No,0,0,726,0,158,"Not Offered"
Bahawalpur,,No,68,0,842,0,156,"Not Offered"
Bahawalpur,,No,47,0,777,0,152,"Not Offered"
Bahawalpur,,No,32,0,776,0,50,"Not Offered"
Bahawalpur,,No,48,0,854,0,132,"Not Offered"
Bahawalpur,,No,34,0,753,0,137,"Not Offered"
Bahawalpur,,No,40,0,664,0,116,"Not Offered"
Bahawalpur,,No,0,0,719,0,115,"Not Offered"
Bahawalpur,,No,0,0,525,0,73,"Not Offered"
Bahawalpur,,No,79,79,943,0,168,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,0,0,746,0,92,"Not Offered"
Bahawalpur,,No,0,0,826,0,124,"Not Offered"
Bahawalpur,,No,0,0,823,0,101,"Not Offered"
Bahawalpur,,No,42,0,857,0,109,"Not Offered"
Bahawalpur,,No,43,0,681,0,77,"Not Offered"
Bahawalpur,,No,50,0,793,0,163,"Not Offered"
Bahawalpur,,No,0,0,771,0,137,"Not Offered"
Bahawalpur,,No,48,0,792,0,154,"Not Offered"
Bahawalpur,,No,0,0,772,0,133,"Not Offered"
Bahawalpur,,No,41,0,821,0,152,"Not Offered"
Bahawalpur,,No,53,0,776,0,167,"Not Offered"
Bahawalpur,,Yes,0,0,754,0,78,"Not Offered"
Bahawalpur,,No,51,0,757,0,144,"Not Offered"
Bahawalpur,,No,44,0,678,0,123,"Not Offered"
Bahawalpur,,No,0,0,496,0,92,"Not Offered"
Bahawalpur,,No,36,0,743,0,169,"Not Offered"
Bahawalpur,,Yes,41,0,752,0,75,"Not Offered"
Bahawalpur,,No,50,0,835,0,170,"Not Offered"
Bahawalpur,,No,52,0,859,0,157,"Not Offered"
Bahawalpur,,No,42,0,765,0,149,"Not Offered"
Bahawalpur,,No,0,0,775,0,113,"Not Offered"
Bahawalpur,,No,40,0,570,0,92,"Not Offered"
Bahawalpur,,No,41,0,736,0,139,"Not Offered"
Bahawalpur,,No,0,0,748,0,118,"Not Offered"
OPEN,,No,0,0,724,0,94,"Not Offered"
Bahawalpur,,No,55,0,829,0,99,"Not Offered"
Bahawalpur,,No,60,0,763,0,122,"Not Offered"
Bahawalpur,,No,48,0,653,0,149,"Not Offered"
Bahawalpur,,No,0,0,799,0,120,"Not Offered"
Bahawalpur,,No,48,0,671,0,117,"Not Offered"
Bahawalpur,,No,61,0,856,0,160,"Not Offered"
Bahawalpur,,No,66,66,900,0,157,Offered_IN_BWP_QUOTA
Bahawalpur,,No,51,0,821,0,135,"Not Offered"
Bahawalpur,,No,0,0,591,0,124,"Not Offered"
Bahawalpur,,Yes,57,0,693,0,136,"Not Offered"
Bahawalpur,,No,39,0,832,0,72,"Not Offered"
Bahawalpur,,No,0,0,769,0,91,"Not Offered"
Bahawalpur,,No,54,0,603,0,138,"Not Offered"
Bahawalpur,,No,63,0,860,0,141,"Not Offered"
Bahawalpur,,No,51,0,795,0,173,"Not Offered"
Bahawalpur,,No,49,0,671,0,123,"Not Offered"
Bahawalpur,,No,42,0,597,0,125,"Not Offered"
Bahawalpur,,No,47,0,649,0,109,"Not Offered"
Bahawalpur,,No,58,0,685,0,121,"Not Offered"
Bahawalpur,,No,30,0,783,0,147,"Not Offered"
Bahawalpur,,No,41,0,716,0,148,"Not Offered"
Bahawalpur,,No,0,0,544,450,84,"Not Offered"
Bahawalpur,,No,69,0,871,0,171,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,697,0,143,"Not Offered"
Bahawalpur,,No,48,0,699,0,87,"Not Offered"
Bahawalpur,,No,52,0,694,0,136,"Not Offered"
Bahawalpur,,No,51,0,738,0,132,"Not Offered"
Bahawalpur,,No,45,0,825,0,152,"Not Offered"
Bahawalpur,,Yes,54,0,684,0,164,"Not Offered"
Bahawalpur,,No,50,0,793,0,105,"Not Offered"
Bahawalpur,,No,44,0,657,0,109,"Not Offered"
Bahawalpur,,No,0,0,758,0,112,"Not Offered"
Bahawalpur,,No,0,0,811,0,161,"Not Offered"
Bahawalpur,,No,0,0,806,0,144,"Not Offered"
Bahawalpur,,No,76,76,969,0,162,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,48,0,803,0,134,"Not Offered"
Bahawalpur,,Yes,50,0,597,0,121,"Not Offered"
Bahawalpur,,No,51,0,769,0,136,"Not Offered"
Bahawalpur,,No,47,0,758,0,129,"Not Offered"
Bahawalpur,,No,57,0,656,0,130,"Not Offered"
Bahawalpur,,No,0,0,554,0,94,"Not Offered"
Bahawalpur,,No,44,0,870,0,78,"Not Offered"
Bahawalpur,,No,47,0,659,0,153,"Not Offered"
Bahawalpur,,No,0,0,697,0,132,"Not Offered"
Bahawalpur,,No,57,0,809,0,103,"Not Offered"
Bahawalpur,,No,50,0,662,0,80,"Not Offered"
Bahawalpur,,No,42,0,538,0,97,"Not Offered"
Bahawalpur,,No,40,0,542,0,100,"Not Offered"
Bahawalpur,,No,48,41,811,0,128,"Not Offered"
Bahawalpur,,No,64,0,906,0,164,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,617,0,107,"Not Offered"
Bahawalpur,,No,0,0,516,0,86,"Not Offered"
Bahawalpur,,No,0,0,701,0,153,"Not Offered"
Bahawalpur,,No,43,0,768,0,140,"Not Offered"
Bahawalpur,,No,0,0,869,0,148,"Not Offered"
Bahawalpur,,No,58,0,765,0,134,"Not Offered"
Bahawalpur,,No,41,0,739,0,110,"Not Offered"
Bahawalpur,,No,59,59,854,0,159,"Not Offered"
Bahawalpur,,No,41,0,654,0,109,"Not Offered"
Bahawalpur,,No,0,0,579,0,70,"Not Offered"
Bahawalpur,,No,42,15,638,0,94,"Not Offered"
Bahawalpur,,No,0,0,855,0,127,"Not Offered"
Bahawalpur,,No,59,0,597,0,114,"Not Offered"
Bahawalpur,,No,56,0,597,0,129,"Not Offered"
Bahawalpur,,No,0,0,869,0,67,"Not Offered"
Bahawalpur,,No,0,0,771,0,153,"Not Offered"
Bahawalpur,,No,41,0,781,0,132,"Not Offered"
Bahawalpur,,No,0,0,710,0,120,"Not Offered"
Bahawalpur,,No,41,0,626,0,113,"Not Offered"
Bahawalpur,,No,69,69,915,0,171,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,47,0,703,0,150,"Not Offered"
Bahawalpur,,No,44,0,688,0,127,"Not Offered"
Bahawalpur,,No,53,23,858,0,146,"Not Offered"
Bahawalpur,,No,52,0,914,0,135,Offered_IN_BWP_QUOTA
Bahawalpur,,No,40,0,575,0,118,"Not Offered"
Bahawalpur,,No,48,0,843,0,174,"Not Offered"
Bahawalpur,,No,47,0,622,0,95,"Not Offered"
Bahawalpur,,No,51,0,716,0,143,"Not Offered"
Bahawalpur,,No,0,0,633,0,104,"Not Offered"
Bahawalpur,,Yes,60,0,827,0,161,"Not Offered"
Bahawalpur,,No,61,0,980,0,180,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,0,0,749,0,145,"Not Offered"
Bahawalpur,,No,0,0,620,0,144,"Not Offered"
Bahawalpur,,No,88,0,949,0,165,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,51,0,505,0,101,"Not Offered"
Bahawalpur,,No,42,0,580,0,121,"Not Offered"
Bahawalpur,,No,60,0,607,0,128,"Not Offered"
Bahawalpur,,No,52,0,706,0,123,"Not Offered"
Bahawalpur,,No,44,0,841,0,167,"Not Offered"
Bahawalpur,,No,0,0,668,0,122,"Not Offered"
Bahawalpur,,No,0,0,851,0,80,"Not Offered"
Bahawalpur,,No,51,0,924,0,172,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,796,0,148,"Not Offered"
Bahawalpur,,No,0,0,768,0,99,"Not Offered"
Bahawalpur,,No,43,0,682,0,111,"Not Offered"
Bahawalpur,,No,61,0,551,0,97,"Not Offered"
Bahawalpur,,No,44,0,851,0,162,"Not Offered"
Bahawalpur,,No,51,0,758,0,149,"Not Offered"
Bahawalpur,,No,0,0,677,0,125,"Not Offered"
Bahawalpur,,No,49,0,713,0,100,"Not Offered"
Bahawalpur,,No,30,0,578,0,111,"Not Offered"
Bahawalpur,,Yes,50,0,782,0,139,"Not Offered"
OPEN,,No,40,0,689,0,123,"Not Offered"
Bahawalpur,,No,0,0,615,0,140,"Not Offered"
Bahawalpur,,No,63,0,783,0,154,"Not Offered"
Bahawalpur,,No,53,0,783,0,126,"Not Offered"
Bahawalpur,,No,52,52,881,0,166,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,824,0,58,"Not Offered"
Bahawalpur,,No,47,0,765,0,150,"Not Offered"
Bahawalpur,,No,56,0,826,0,129,"Not Offered"
Bahawalpur,,No,50,0,718,0,119,"Not Offered"
Bahawalpur,,No,0,0,671,0,117,"Not Offered"
Bahawalpur,,No,0,0,546,0,99,"Not Offered"
Bahawalpur,,No,67,0,828,0,136,"Not Offered"
Bahawalpur,,No,47,0,769,0,69,"Not Offered"
Bahawalpur,,No,56,0,647,0,161,"Not Offered"
Bahawalpur,,No,62,0,888,0,132,"Not Offered"
Bahawalpur,,No,0,0,810,0,167,"Not Offered"
Bahawalpur,,No,0,0,719,0,122,"Not Offered"
Bahawalpur,,No,0,0,538,0,101,"Not Offered"
Bahawalpur,,No,50,0,616,0,123,"Not Offered"
Bahawalpur,,No,44,0,695,0,138,"Not Offered"
Bahawalpur,,Yes,49,0,584,0,113,"Not Offered"
Bahawalpur,,No,0,0,806,0,131,"Not Offered"
Bahawalpur,,No,0,0,508,0,108,"Not Offered"
Bahawalpur,,No,76,0,938,0,165,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,898,0,160,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,46,0,707,0,140,"Not Offered"
OPEN,,Yes,51,0,642,0,147,"Not Offered"
Bahawalpur,,No,0,0,845,0,154,"Not Offered"
Bahawalpur,,Yes,57,0,656,0,120,"Not Offered"
Bahawalpur,,No,0,0,510,0,95,"Not Offered"
Bahawalpur,,No,59,0,717,0,150,"Not Offered"
Bahawalpur,,No,53,0,678,0,147,"Not Offered"
Bahawalpur,,Yes,48,0,802,0,158,"Not Offered"
Bahawalpur,,No,0,0,934,0,178,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,61,0,906,0,176,Offered_IN_BWP_QUOTA
Bahawalpur,,No,41,0,603,0,153,"Not Offered"
Bahawalpur,,No,0,0,576,0,87,"Not Offered"
Bahawalpur,,No,42,0,730,0,125,"Not Offered"
Bahawalpur,,No,60,0,886,0,180,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,796,0,163,"Not Offered"
Bahawalpur,,No,0,0,485,0,123,"Not Offered"
Bahawalpur,,No,40,0,651,0,164,"Not Offered"
Bahawalpur,,No,43,43,761,0,144,"Not Offered"
Bahawalpur,,No,0,0,571,0,134,"Not Offered"
Bahawalpur,,No,0,0,632,0,107,"Not Offered"
Bahawalpur,,No,40,0,868,0,170,"Not Offered"
Bahawalpur,,No,52,0,951,0,178,Offered_IN_OPEN_QUOTA
