Sr,Domicile,Selection Quota,Hafiz e Quran,NTS,ECAT/MCAT,FA/FSC,BA/BSC,English Marks,Offered
1,OPEN,,No,42,0,851,0,0,Offered_IN_OPEN_QUOTA
2,OPEN,,No,73,0,822,0,0,Offered_IN_OPEN_QUOTA
3,OPEN,,No,0,0,712,0,0,Not Offered
4,Bahawalpur,,No,60,0,610,0,0,Not Offered
5,Bahawalpur,,No,46,0,714,0,0,Not Offered
6,Bahawalpur,,No,57,0,758,0,0,Offered_IN_BWP_QUOTA
7,Bahawalpur,,No,40,0,671,0,0,Not Offered
8,Bahawalpur,,No,56,0,835,0,0,Offered_IN_BWP_QUOTA
9,Bahawalpur,,No,44,0,807,0,0,Offered_IN_BWP_QUOTA
10,Bahawalpur,,No,62,0,784,0,0,Offered_IN_BWP_QUOTA
11,Bahawalpur,,No,49,0,557,0,0,Not Offered
12,Bahawalpur,,No,43,0,634,0,0,Not Offered
13,Bahawalpur,,No,46,0,824,0,0,Offered_IN_BWP_QUOTA
14,Bahawalpur,,No,47,0,834,0,0,Offered_IN_BWP_QUOTA
15,Bahawalpur,,No,41,0,745,0,0,Not Offered
16,Bahawalpur,,No,51,0,712,0,0,Not Offered
17,Bahawalpur,,No,47,0,684,0,0,Not Offered
18,Bahawalpur,,No,43,0,589,0,0,Not Offered
19,Bahawalpur,,No,42,0,773,0,0,Offered_IN_BWP_QUOTA
20,Bahawalpur,,No,52,0,594,0,0,Not Offered
21,Bahawalpur,,No,50,0,752,0,0,Offered_IN_BWP_QUOTA
22,Bahawalpur,,No,49,0,606,0,0,Not Offered
23,Bahawalpur,,No,42,0,607,0,0,Not Offered
24,Bahawalpur,,No,47,0,631,0,0,Not Offered
25,OPEN,,No,43,0,756,0,0,Not Offered
26,Bahawalpur,,Yes,42,0,570,0,0,Not Offered
27,Bahawalpur,,No,42,0,653,0,0,Not Offered
28,Bahawalpur,,No,46,0,729,0,0,Not Offered
29,OPEN,,No,47,0,659,0,0,Not Offered
30,Bahawalpur,,No,47,0,762,0,0,Offered_IN_BWP_QUOTA
31,OPEN,,No,43,0,777,0,0,Not Offered
32,Bahawalpur,,No,49,0,698,0,0,Not Offered
33,Bahawalpur,,No,47,0,568,0,0,Not Offered
34,Bahawalpur,,No,47,0,625,0,0,Not Offered
35,Bahawalpur,,No,60,0,664,0,0,Not Offered
36,Bahawalpur,,No,52,0,556,0,0,Not Offered
37,Bahawalpur,,No,60,0,698,0,0,Not Offered
38,Bahawalpur,,No,46,0,573,0,0,Not Offered
39,Bahawalpur,,No,44,0,538,0,0,Not Offered
40,Bahawalpur,,No,56,0,680,0,0,Not Offered
41,Bahawalpur,,No,52,0,622,0,0,Not Offered
42,Bahawalpur,,No,71,0,674,0,0,Not Offered
43,Bahawalpur,,No,30,0,523,0,0,Not Offered
44,Bahawalpur,,No,46,0,799,0,0,Offered_IN_BWP_QUOTA
45,Bahawalpur,,No,61,0,634,0,0,Not Offered
46,Bahawalpur,,No,63,0,796,0,0,Offered_IN_BWP_QUOTA
47,Bahawalpur,,No,53,0,828,0,0,Offered_IN_BWP_QUOTA
48,Bahawalpur,,No,53,0,776,0,0,Offered_IN_BWP_QUOTA
49,Bahawalpur,,No,49,0,579,0,0,Not Offered
50,Bahawalpur,,No,63,0,924,0,0,Offered_IN_OPEN_QUOTA
51,Bahawalpur,,No,44,0,509,0,0,Not Offered
52,Bahawalpur,,No,51,0,690,0,0,Not Offered
53,Bahawalpur,,No,50,0,609,0,0,Not Offered
54,Bahawalpur,,No,48,0,650,0,0,Not Offered
55,Bahawalpur,,No,48,0,653,0,0,Not Offered
56,Bahawalpur,,No,59,0,851,0,0,Offered_IN_OPEN_QUOTA
57,Bahawalpur,,No,47,0,564,0,0,Not Offered
58,Bahawalpur,,No,48,0,790,0,0,Offered_IN_BWP_QUOTA
59,Bahawalpur,,No,46,0,755,0,0,Not Offered
60,Bahawalpur,,No,59,0,699,0,0,Not Offered
61,Bahawalpur,,No,70,0,756,0,0,Offered_IN_BWP_QUOTA
62,Bahawalpur,,No,48,0,660,0,0,Not Offered
63,Bahawalpur,,No,66,0,662,0,0,Not Offered
64,Bahawalpur,,No,44,0,662,0,0,Not Offered
65,Bahawalpur,,No,50,0,766,0,0,Offered_IN_BWP_QUOTA
66,Bahawalpur,,No,41,0,576,0,0,Not Offered
67,Bahawalpur,,No,69,0,871,0,0,Offered_IN_OPEN_QUOTA
68,Bahawalpur,,No,44,0,592,0,0,Not Offered
69,Bahawalpur,,No,42,0,539,0,0,Not Offered
70,OPEN,,No,54,0,652,0,0,Not Offered
71,Bahawalpur,,No,58,38,830,0,0,Offered_IN_BWP_QUOTA
72,Bahawalpur,,No,66,0,765,0,0,Offered_IN_BWP_QUOTA
73,Bahawalpur,,No,50,0,670,0,0,Not Offered
74,Bahawalpur,,No,48,0,803,0,0,Offered_IN_BWP_QUOTA
75,Bahawalpur,,No,44,0,709,0,0,Not Offered
76,Bahawalpur,,No,44,0,508,0,0,Not Offered
77,Bahawalpur,,No,58,0,797,0,0,Offered_IN_BWP_QUOTA
78,Bahawalpur,,No,48,0,567,0,0,Not Offered
79,Bahawalpur,,No,46,0,735,0,0,Not Offered
80,Bahawalpur,,No,49,0,626,0,0,Not Offered
81,Bahawalpur,,No,44,0,870,0,0,Offered_IN_BWP_QUOTA
82,Bahawalpur,,No,47,0,659,0,0,Not Offered
83,Bahawalpur,,No,39,0,627,0,0,Not Offered
84,Bahawalpur,,No,43,0,554,0,0,Not Offered
85,Bahawalpur,,No,44,0,748,0,0,Not Offered
86,Bahawalpur,,No,42,0,538,0,0,Not Offered
87,Bahawalpur,,No,64,0,906,0,0,Offered_IN_OPEN_QUOTA
88,Bahawalpur,,No,41,0,827,0,0,Offered_IN_BWP_QUOTA
89,Bahawalpur,,No,43,0,768,0,0,Not Offered
90,Bahawalpur,,No,58,0,765,0,0,Offered_IN_BWP_QUOTA
91,Bahawalpur,,No,48,0,652,0,0,Not Offered
92,Bahawalpur,,No,63,0,778,0,0,Offered_IN_BWP_QUOTA
93,Bahawalpur,,No,51,0,537,0,0,Not Offered
94,Bahawalpur,,No,41,0,802,0,0,Offered_IN_BWP_QUOTA
95,Bahawalpur,,No,60,0,574,0,0,Not Offered
96,Bahawalpur,,No,40,0,719,0,0,Not Offered
97,Bahawalpur,,No,43,0,765,0,0,Not Offered
98,OPEN,,No,51,0,635,0,0,Not Offered
99,Bahawalpur,,No,46,0,594,0,0,Not Offered
100,Bahawalpur,,No,44,0,536,0,0,Not Offered
101,Bahawalpur,,No,59,0,728,0,0,Offered_IN_BWP_QUOTA
102,Bahawalpur,,No,55,0,864,0,0,Offered_IN_OPEN_QUOTA
103,Bahawalpur,,No,46,0,507,0,0,Not Offered
104,Bahawalpur,,No,60,0,669,0,0,Not Offered
105,Bahawalpur,,Yes,47,0,703,0,0,Not Offered
106,Bahawalpur,,No,47,0,589,0,0,Not Offered
107,Bahawalpur,,No,46,0,617,0,0,Not Offered
108,Bahawalpur,,No,53,0,655,0,0,Not Offered
109,Bahawalpur,,No,48,0,694,0,0,Not Offered
110,Bahawalpur,,No,43,0,566,0,0,Not Offered
111,OPEN,,No,47,0,633,0,0,Not Offered
112,Bahawalpur,,No,50,0,627,0,0,Not Offered
113,Bahawalpur,,No,40,0,621,0,0,Not Offered
114,Bahawalpur,,No,49,0,636,0,0,Not Offered
115,Bahawalpur,,No,44,0,625,0,0,Not Offered
116,Bahawalpur,,No,43,0,563,0,0,Not Offered
117,Bahawalpur,,No,44,0,731,0,0,Not Offered
118,Bahawalpur,,No,60,0,607,0,0,Not Offered
119,Bahawalpur,,No,43,0,657,0,0,Not Offered
120,Bahawalpur,,No,40,0,501,0,0,Not Offered
121,Bahawalpur,,No,50,0,803,0,0,Offered_IN_BWP_QUOTA
122,Bahawalpur,,No,44,0,841,0,0,Offered_IN_BWP_QUOTA
123,Bahawalpur,,No,59,0,645,0,0,Not Offered
124,Bahawalpur,,No,43,0,630,0,0,Not Offered
125,Bahawalpur,,No,43,0,714,0,0,Not Offered
126,Bahawalpur,,No,49,0,616,0,0,Not Offered
127,Bahawalpur,,No,48,0,605,0,0,Not Offered
128,Bahawalpur,,No,64,0,810,0,0,Offered_IN_BWP_QUOTA
129,OPEN,,No,47,0,655,0,0,Not Offered
130,Bahawalpur,,No,52,0,538,0,0,Not Offered
131,Bahawalpur,,No,54,0,578,0,0,Not Offered
132,Bahawalpur,,No,41,0,560,0,0,Not Offered
133,Bahawalpur,,No,58,0,770,0,0,Offered_IN_BWP_QUOTA
134,Bahawalpur,,No,52,0,676,0,0,Not Offered
135,Bahawalpur,,No,53,0,766,0,0,Offered_IN_BWP_QUOTA
136,Bahawalpur,,No,52,0,744,0,0,Not Offered
137,Bahawalpur,,No,49,0,486,0,0,Not Offered
138,Bahawalpur,,No,40,0,773,0,0,Not Offered
139,Bahawalpur,,No,30,0,578,0,0,Not Offered
140,Bahawalpur,,No,69,0,772,0,0,Offered_IN_BWP_QUOTA
141,Bahawalpur,,No,48,0,634,0,0,Not Offered
142,Bahawalpur,,No,41,0,661,0,0,Not Offered
143,Bahawalpur,,No,59,0,544,0,0,Not Offered
144,Bahawalpur,,No,63,0,783,0,0,Offered_IN_BWP_QUOTA
145,Bahawalpur,,No,42,0,546,0,0,Not Offered
146,Bahawalpur,,No,53,0,783,0,0,Offered_IN_BWP_QUOTA
147,Bahawalpur,,No,42,0,824,0,0,Offered_IN_BWP_QUOTA
148,Bahawalpur,,No,46,0,686,0,0,Not Offered
149,Bahawalpur,,No,59,0,605,0,0,Not Offered
150,Bahawalpur,,No,60,0,603,0,0,Not Offered
151,Bahawalpur,,No,54,0,521,0,0,Not Offered
152,Bahawalpur,,No,57,0,698,0,0,Not Offered
153,Bahawalpur,,No,44,0,746,0,0,Not Offered
154,Bahawalpur,,No,47,0,769,0,0,Offered_IN_BWP_QUOTA
155,Bahawalpur,,No,56,0,647,0,0,Not Offered
156,Bahawalpur,,No,51,0,672,0,0,Not Offered
157,Bahawalpur,,No,50,0,616,0,0,Not Offered
158,Bahawalpur,,No,60,0,675,0,0,Not Offered
159,OPEN,,No,60,0,663,0,0,Not Offered
160,Bahawalpur,,Yes,49,0,584,0,0,Not Offered
161,OPEN,,No,58,0,694,0,0,Not Offered
162,Bahawalpur,,No,54,0,756,0,0,Offered_IN_BWP_QUOTA
163,Bahawalpur,,No,61,0,776,0,0,Offered_IN_BWP_QUOTA
164,OPEN,,No,47,0,576,0,0,Not Offered
165,Bahawalpur,,No,56,0,724,0,0,Not Offered
166,Bahawalpur,,No,59,0,768,0,0,Offered_IN_BWP_QUOTA
167,Bahawalpur,,No,48,0,621,0,0,Not Offered
168,Bahawalpur,,No,47,0,664,0,0,Not Offered
169,Bahawalpur,,No,50,0,674,0,0,Not Offered
170,Bahawalpur,,No,50,0,614,0,0,Not Offered
171,Bahawalpur,,No,47,0,750,0,0,Not Offered
172,Bahawalpur,,No,59,0,589,0,0,Not Offered
173,Bahawalpur,,No,49,0,739,0,0,Not Offered
