Domicile,FA/FSC,English Marks,Offered
OPEN,824,151,Not Offered
Bahawalpur,957,177,Offered_IN_OPEN_QUOTA
Bahawalpur,795,127,Not Offered
Bahawalpur,785,133,Not Offered
Bahawalpur,596,116,Not Offered
Bahawalpur,804,151,Not Offered
Bahawalpur,714,132,Not Offered
Bahawalpur,719,118,Not Offered
Bahawalpur,811,111,Not Offered
Bahawalpur,926,183,Offered_IN_OPEN_QUOTA
Bahawalpur,754,78,Not Offered
Bahawalpur,663,95,Not Offered
Bahawalpur,724,149,Not Offered
Bahawalpur,612,121,Not Offered
Bahawalpur,872,159,Not Offered
Bahawalpur,635,100,Not Offered
Bahawalpur,766,119,Not Offered
Bahawalpur,831,115,Not Offered
Bahawalpur,648,99,Not Offered
Bahawalpur,868,175,Offered_IN_BWP_QUOTA
Bahawalpur,912,156,Offered_IN_BWP_QUOTA
Bahawalpur,834,142,Not Offered
Bahawalpur,829,158,Not Offered
Bahawalpur,866,137,Not Offered
Bahawalpur,775,136,Not Offered
Bahawalpur,643,59,Not Offered
Bahawalpur,652,102,Not Offered
Bahawalpur,822,145,Not Offered
Bahawalpur,715,118,Not Offered
Bahawalpur,799,117,Not Offered
OPEN,795,133,Not Offered
Bahawalpur,561,95,Not Offered
Bahawalpur,869,154,Not Offered
Bahawalpur,705,130,Not Offered
Bahawalpur,773,120,Not Offered
Bahawalpur,828,144,Not Offered
Bahawalpur,680,106,Not Offered
Bahawalpur,523,90,Not Offered
Bahawalpur,771,131,Not Offered
Bahawalpur,720,100,Not Offered
Bahawalpur,585,109,Not Offered
Bahawalpur,664,112,Not Offered
Bahawalpur,698,120,Not Offered
Bahawalpur,621,123,Not Offered
Bahawalpur,706,119,Not Offered
Bahawalpur,849,143,Not Offered
Bahawalpur,930,165,Offered_IN_BWP_QUOTA
Bahawalpur,658,79,Not Offered
Bahawalpur,562,112,Not Offered
Bahawalpur,626,129,Not Offered
Bahawalpur,836,155,Not Offered
Bahawalpur,881,166,Offered_IN_BWP_QUOTA
Bahawalpur,829,160,Not Offered
Bahawalpur,847,158,Not Offered
Bahawalpur,766,135,Not Offered
Bahawalpur,938,157,Offered_IN_BWP_QUOTA
Bahawalpur,616,74,Not Offered
Bahawalpur,888,160,Offered_IN_BWP_QUOTA
Bahawalpur,753,151,Not Offered
Bahawalpur,968,169,Offered_IN_OPEN_QUOTA
Bahawalpur,687,74,Not Offered
Bahawalpur,769,169,Not Offered
Bahawalpur,745,157,Not Offered
Bahawalpur,715,134,Not Offered
Bahawalpur,680,145,Not Offered
Bahawalpur,596,69,Not Offered
Bahawalpur,703,132,Not Offered
Bahawalpur,639,126,Not Offered
Bahawalpur,851,161,Not Offered
Bahawalpur,680,118,Not Offered
Bahawalpur,876,180,Offered_IN_BWP_QUOTA
Bahawalpur,683,123,Not Offered
Bahawalpur,783,148,Not Offered
Bahawalpur,726,158,Not Offered
Bahawalpur,842,156,Not Offered
Bahawalpur,777,152,Not Offered
Bahawalpur,776,50,Not Offered
Bahawalpur,854,132,Not Offered
Bahawalpur,753,137,Not Offered
Bahawalpur,664,116,Not Offered
Bahawalpur,719,115,Not Offered
Bahawalpur,525,73,Not Offered
Bahawalpur,943,168,Offered_IN_OPEN_QUOTA
Bahawalpur,746,92,Not Offered
Bahawalpur,826,124,Not Offered
Bahawalpur,823,101,Not Offered
Bahawalpur,857,109,Not Offered
Bahawalpur,681,77,Not Offered
Bahawalpur,793,163,Not Offered
Bahawalpur,771,137,Not Offered
Bahawalpur,792,154,Not Offered
Bahawalpur,772,133,Not Offered
Bahawalpur,821,152,Not Offered
Bahawalpur,776,167,Not Offered
Bahawalpur,754,78,Not Offered
Bahawalpur,757,144,Not Offered
Bahawalpur,678,123,Not Offered
Bahawalpur,496,92,Not Offered
Bahawalpur,743,169,Not Offered
Bahawalpur,752,75,Not Offered
Bahawalpur,835,170,Not Offered
Bahawalpur,859,157,Not Offered
Bahawalpur,765,149,Not Offered
Bahawalpur,775,113,Not Offered
Bahawalpur,570,92,Not Offered
Bahawalpur,736,139,Not Offered
Bahawalpur,748,118,Not Offered
OPEN,724,94,Not Offered
Bahawalpur,829,99,Not Offered
Bahawalpur,763,122,Not Offered
Bahawalpur,653,149,Not Offered
Bahawalpur,799,120,Not Offered
Bahawalpur,671,117,Not Offered
Bahawalpur,856,160,Not Offered
Bahawalpur,900,157,Offered_IN_BWP_QUOTA
Bahawalpur,821,135,Not Offered
Bahawalpur,591,124,Not Offered
Bahawalpur,693,136,Not Offered
Bahawalpur,832,72,Not Offered
Bahawalpur,769,91,Not Offered
Bahawalpur,603,138,Not Offered
Bahawalpur,860,141,Not Offered
Bahawalpur,795,173,Not Offered
Bahawalpur,671,123,Not Offered
Bahawalpur,597,125,Not Offered
Bahawalpur,649,109,Not Offered
Bahawalpur,685,121,Not Offered
Bahawalpur,783,147,Not Offered
Bahawalpur,716,148,Not Offered
Bahawalpur,544,84,Not Offered
Bahawalpur,871,171,Offered_IN_BWP_QUOTA
Bahawalpur,697,143,Not Offered
Bahawalpur,699,87,Not Offered
Bahawalpur,694,136,Not Offered
Bahawalpur,738,132,Not Offered
Bahawalpur,825,152,Not Offered
Bahawalpur,684,164,Not Offered
