Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
OPEN,,No,54,0,706,0,0,"Not Offered"
Bahawalpur,,No,41,0,802,0,0,"Not Offered"
Bahawalpur,,No,40,0,671,0,0,"Not Offered"
Bahawalpur,,No,43,0,559,0,0,"Not Offered"
Bahawalpur,,No,44,0,724,0,0,"Not Offered"
Bahawalpur,,No,62,0,784,0,0,"Not Offered"
Bahawalpur,,No,42,27,801,0,0,"Not Offered"
Bahawalpur,,No,44,0,766,0,0,"Not Offered"
Bahawalpur,,No,53,0,652,0,0,"Not Offered"
Bahawalpur,,No,58,0,849,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,62,0,808,0,0,"Not Offered"
Bahawalpur,,No,51,0,712,0,0,"Not Offered"
Bahawalpur,,No,46,0,814,0,0,"Not Offered"
Bahawalpur,,No,52,0,594,0,0,"Not Offered"
Bahawalpur,,No,33,0,839,0,0,"Not Offered"
Bahawalpur,,No,66,0,655,0,0,"Not Offered"
Bahawalpur,,No,50,0,752,0,0,"Not Offered"
Bahawalpur,,No,50,0,785,0,0,"Not Offered"
Bahawalpur,,No,47,0,631,0,0,"Not Offered"
Bahawalpur,,Yes,57,0,727,0,0,"Not Offered"
Bahawalpur,,No,53,0,829,0,0,"Not Offered"
Bahawalpur,,No,78,0,930,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,51,0,687,0,0,"Not Offered"
OPEN,,No,43,0,777,0,0,"Not Offered"
Bahawalpur,,No,63,0,717,0,0,"Not Offered"
Bahawalpur,,No,49,0,698,0,0,"Not Offered"
Bahawalpur,,No,42,0,690,0,0,"Not Offered"
Bahawalpur,,No,48,0,849,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,52,0,744,0,0,"Not Offered"
Bahawalpur,,No,47,0,625,0,0,"Not Offered"
Bahawalpur,,No,52,0,556,0,0,"Not Offered"
Bahawalpur,,No,44,0,660,0,0,"Not Offered"
Bahawalpur,,No,50,0,709,0,0,"Not Offered"
Bahawalpur,,No,57,0,753,0,0,"Not Offered"
Bahawalpur,,No,42,0,771,0,0,"Not Offered"
Bahawalpur,,No,59,0,883,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,46,0,573,0,0,"Not Offered"
Bahawalpur,,No,43,0,708,0,0,"Not Offered"
Bahawalpur,,No,44,0,538,0,0,"Not Offered"
Bahawalpur,,No,44,0,738,0,0,"Not Offered"
Bahawalpur,,No,41,0,647,0,0,"Not Offered"
Bahawalpur,,No,53,0,760,0,0,"Not Offered"
Bahawalpur,,No,42,0,646,0,0,"Not Offered"
Bahawalpur,,No,53,0,721,0,0,"Not Offered"
Bahawalpur,,No,49,0,789,0,0,"Not Offered"
Bahawalpur,,No,48,0,863,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,799,0,0,"Not Offered"
Bahawalpur,,No,61,0,634,0,0,"Not Offered"
Bahawalpur,,No,63,0,796,0,0,"Not Offered"
Bahawalpur,,No,46,0,613,0,0,"Not Offered"
Bahawalpur,,No,46,0,703,0,0,"Not Offered"
Bahawalpur,,No,58,0,818,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,53,0,729,0,0,"Not Offered"
Bahawalpur,,No,44,0,509,0,0,"Not Offered"
Bahawalpur,,No,52,0,697,0,0,"Not Offered"
Bahawalpur,,No,43,0,863,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,57,0,723,0,0,"Not Offered"
Bahawalpur,,No,68,0,839,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,51,0,628,0,0,"Not Offered"
Bahawalpur,,No,54,0,837,0,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,44,0,686,0,0,"Not Offered"
Bahawalpur,,No,61,0,856,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,50,0,656,0,0,"Not Offered"
Bahawalpur,,Yes,57,0,693,0,0,"Not Offered"
Bahawalpur,,No,61,0,669,0,0,"Not Offered"
Bahawalpur,,No,48,0,790,0,0,"Not Offered"
Bahawalpur,,No,42,0,703,0,0,"Not Offered"
Bahawalpur,,No,48,0,660,0,0,"Not Offered"
Bahawalpur,,No,71,0,822,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,66,0,662,0,0,"Not Offered"
Bahawalpur,,No,50,27,669,0,0,"Not Offered"
Bahawalpur,,No,42,0,597,0,0,"Not Offered"
Bahawalpur,,No,47,0,649,0,0,"Not Offered"
Bahawalpur,,No,53,0,773,0,0,"Not Offered"
Bahawalpur,,No,50,0,766,0,0,"Not Offered"
Bahawalpur,,No,54,32,862,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,858,0,0,Offered_IN_OPEN_QUOTA
OPEN,,No,54,0,652,0,0,"Not Offered"
Bahawalpur,,No,58,0,776,0,0,"Not Offered"
Bahawalpur,,No,51,0,678,0,0,"Not Offered"
Bahawalpur,,No,52,0,680,0,0,"Not Offered"
Bahawalpur,,No,56,0,845,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,42,0,469,0,0,"Not Offered"
Bahawalpur,,No,29,0,486,0,0,"Not Offered"
Bahawalpur,,No,44,0,508,0,0,"Not Offered"
Bahawalpur,,No,48,0,567,0,0,"Not Offered"
Bahawalpur,,No,46,0,735,0,0,"Not Offered"
Bahawalpur,,No,43,0,718,0,0,"Not Offered"
Bahawalpur,,No,51,0,585,0,0,"Not Offered"
Bahawalpur,,No,43,0,737,0,0,"Not Offered"
Bahawalpur,,No,52,0,840,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,44,0,748,0,0,"Not Offered"
Bahawalpur,,No,43,0,853,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,40,0,542,0,0,"Not Offered"
Bahawalpur,,No,56,0,588,0,0,"Not Offered"
Bahawalpur,,No,50,0,765,0,0,"Not Offered"
Bahawalpur,,No,46,0,742,0,0,"Not Offered"
Bahawalpur,,No,68,0,613,0,0,"Not Offered"
Bahawalpur,,No,41,0,827,0,0,"Not Offered"
Bahawalpur,,No,53,0,665,0,0,"Not Offered"
Bahawalpur,,No,48,0,652,0,0,"Not Offered"
Bahawalpur,,No,63,0,778,0,0,"Not Offered"
Bahawalpur,,No,41,0,802,0,0,"Not Offered"
Bahawalpur,,No,59,0,787,0,0,"Not Offered"
Bahawalpur,,No,66,0,794,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,51,0,879,0,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,40,0,719,0,0,"Not Offered"
OPEN,,No,51,0,635,0,0,"Not Offered"
Bahawalpur,,No,59,0,728,0,0,"Not Offered"
Bahawalpur,,No,47,0,805,0,0,"Not Offered"
Bahawalpur,,No,60,0,669,0,0,"Not Offered"
Bahawalpur,,No,53,0,655,0,0,"Not Offered"
Bahawalpur,,No,49,0,610,0,0,"Not Offered"
Bahawalpur,,No,48,0,694,0,0,"Not Offered"
