Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
Bahawalpur,,No,51,0,618,462,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,40,0,497,420,0,"Not Offered"
Bahawalpur,,No,45,0,539,490,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,651,666,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,46,0,599,483,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,40,0,561,499,0,Offered_IN_BWP_QUOTA
OPEN,,No,56,0,512,562,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,48,0,749,470,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,574,493,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,54,0,654,499,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,40,0,634,397,0,"Not Offered"
Bahawalpur,,No,44,0,541,469,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,46,0,607,422,0,"Not Offered"
Bahawalpur,,No,38,0,757,502,0,"Not Offered"
Bahawalpur,,No,41,0,829,485,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,53,0,619,608,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,41,0,547,502,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,59,0,640,446,0,Offered_IN_BWP_QUOTA
OPEN,,No,54,0,683,600,0,Offered_IN_OPEN_QUOTA
OPEN,,No,42,0,689,451,0,"Not Offered"
Bahawalpur,,No,40,0,524,526,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,49,0,577,678,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,41,0,669,525,0,Offered_IN_BWP_QUOTA
Bahawalpur,,Yes,43,0,547,463,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,51,0,451,592,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,50,0,546,590,0,Offered_IN_OPEN_QUOTA
