Domicile,"Selection Quota","Hafiz e Quran",NTS,ECAT/MCAT,FA/FSC,BA/BSC,"English Marks",Offered
Bahawalpur,,No,46,0,787,527,0,"Not Offered"
Bahawalpur,,No,42,0,505,487,0,"Not Offered"
Bahawalpur,,No,43,0,541,462,0,"Not Offered"
Bahawalpur,,No,55,0,578,491,0,"Not Offered"
Bahawalpur,,No,53,0,486,421,0,"Not Offered"
Bahawalpur,,No,41,0,710,518,0,"Not Offered"
Bahawalpur,,No,46,0,630,481,0,"Not Offered"
Bahawalpur,,No,65,0,510,452,0,"Not Offered"
Bahawalpur,,No,46,0,505,421,0,"Not Offered"
Bahawalpur,,No,40,0,405,606,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,43,0,472,491,0,"Not Offered"
Bahawalpur,,No,44,0,501,453,0,"Not Offered"
Bahawalpur,,No,53,0,775,502,0,"Not Offered"
Bahawalpur,,No,44,0,569,505,0,"Not Offered"
Bahawalpur,,No,40,0,601,463,0,"Not Offered"
Bahawalpur,,No,51,0,667,448,0,"Not Offered"
Bahawalpur,,No,42,0,669,501,0,"Not Offered"
Bahawalpur,,No,43,0,604,446,0,"Not Offered"
Bahawalpur,,No,65,0,680,540,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,48,0,559,589,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,55,0,458,499,0,"Not Offered"
Bahawalpur,,No,47,0,573,456,0,"Not Offered"
Bahawalpur,,No,49,0,522,458,0,"Not Offered"
Bahawalpur,,No,57,0,664,427,0,"Not Offered"
Bahawalpur,,No,50,0,552,488,0,"Not Offered"
Bahawalpur,,No,51,0,618,462,0,"Not Offered"
Bahawalpur,,No,44,0,631,514,0,"Not Offered"
Bahawalpur,,No,56,0,557,590,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,45,0,597,457,0,"Not Offered"
Bahawalpur,,Yes,60,0,592,493,0,"Not Offered"
Bahawalpur,,No,41,0,666,494,0,"Not Offered"
Bahawalpur,,No,61,0,542,439,0,"Not Offered"
Bahawalpur,,No,41,0,521,668,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,43,0,528,435,0,"Not Offered"
Bahawalpur,,No,65,0,541,511,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,34,0,531,513,0,"Not Offered"
Bahawalpur,,No,38,0,519,526,0,"Not Offered"
Bahawalpur,,No,43,0,528,626,0,Offered_IN_OPEN_QUOTA
Bahawalpur,,No,52,0,642,559,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,652,492,0,"Not Offered"
Bahawalpur,,No,42,0,546,551,0,"Not Offered"
Bahawalpur,,No,54,0,697,496,0,"Not Offered"
Bahawalpur,,No,45,0,670,502,0,"Not Offered"
Bahawalpur,,No,45,0,494,462,0,"Not Offered"
Bahawalpur,,No,47,0,571,483,0,"Not Offered"
Bahawalpur,,No,56,0,633,538,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,41,0,541,471,0,"Not Offered"
Bahawalpur,,No,47,0,563,515,0,"Not Offered"
Bahawalpur,,No,45,0,637,501,0,"Not Offered"
Bahawalpur,,No,42,0,592,556,0,"Not Offered"
Bahawalpur,,No,44,0,646,436,0,"Not Offered"
Bahawalpur,,No,45,0,570,499,0,"Not Offered"
Bahawalpur,,No,48,0,495,486,0,"Not Offered"
Bahawalpur,,No,42,0,556,513,0,"Not Offered"
Bahawalpur,,No,51,0,668,539,0,Offered_IN_BWP_QUOTA
Bahawalpur,,No,0,0,497,422,0,"Not Offered"
Bahawalpur,,No,40,0,663,527,0,"Not Offered"
Bahawalpur,,No,54,0,654,499,0,"Not Offered"
Bahawalpur,,No,45,0,540,481,0,"Not Offered"
Bahawalpur,,No,40,0,618,483,0,"Not Offered"
Bahawalpur,,No,46,0,553,413,0,"Not Offered"
Bahawalpur,,No,43,0,470,376,0,"Not Offered"
Bahawalpur,,No,53,0,668,515,0,"Not Offered"
Bahawalpur,,No,36,0,720,538,0,"Not Offered"
Bahawalpur,,No,41,0,517,497,0,"Not Offered"
Bahawalpur,,No,45,0,677,421,0,"Not Offered"
Bahawalpur,,No,47,0,570,403,0,"Not Offered"
Bahawalpur,,No,43,0,726,403,0,"Not Offered"
Bahawalpur,,No,41,0,784,480,0,"Not Offered"
Bahawalpur,,No,43,0,788,483,0,"Not Offered"
Bahawalpur,,No,47,0,567,542,0,"Not Offered"
Bahawalpur,,No,28,0,542,452,0,"Not Offered"
